Table 5. CRISPR Scores from Ba/F3 cells								
Gene	sgRNAs included	-IL-3 CS	+IL-3 CS	Differential CS	-IL-3 CS	+IL-3 CS	Differential CS	Average Differential CS
Hsp90ab1	9	-2,563	0,118	-2,681	-2,282	-0,206	-2,076	-2,3785
Ak6	10	-4,186	-1,977	-2,209	-4,976	-2,453	-2,523	-2,366
Elp3	10	-3,982	-2,566	-1,416	-5,256	-1,976	-3,28	-2,348
Xpo1	8	-5,292	-3,767	-1,525	-6,576	-3,429	-3,147	-2,336
Nbeal2	7	-2,678	-0,527	-2,151	-2,513	-0,003	-2,51	-2,3305
Thoc6	9	-2,796	-0,42	-2,376	-3,545	-1,326	-2,219	-2,2975
Fbxl5	10	-1,517	-0,01	-1,507	-4,424	-1,412	-3,012	-2,2595
Ewsr1	9	-2,206	-0,213	-1,993	-2,704	-0,244	-2,46	-2,2265
Ccnc	10	-3,702	-1,376	-2,326	-3,239	-1,112	-2,127	-2,2265
Smad7	9	-3,064	-1,563	-1,501	-4,361	-1,437	-2,924	-2,2125
Cbx3	10	-3,003	-1,019	-1,984	-4,562	-2,129	-2,433	-2,2085
Dnajc2	9	-4,388	-3,276	-1,112	-5,485	-2,21	-3,275	-2,1935
Mios	8	-5,855	-2,366	-3,489	-5,17	-4,282	-0,888	-2,1885
Fbxo3	10	-2,227	-0,751	-1,476	-3,912	-1,014	-2,898	-2,187
Ncbp1	9	-5,974	-3,297	-2,677	-6,173	-4,517	-1,656	-2,1665
Azin1	8	-2,026	-0,244	-1,782	-3,216	-0,689	-2,527	-2,1545
Ccnt1	8	-4,535	-1,852	-2,683	-5,838	-4,244	-1,594	-2,1385
Ikbkap	10	-4,027	-2,245	-1,782	-4,474	-2,041	-2,433	-2,1075
Arid2	10	-1,199	0,66	-1,859	-1,298	1,016	-2,314	-2,0865
Smarcd1	10	-2,982	-1,571	-1,411	-4,553	-1,794	-2,759	-2,085
Ppip5k2	8	-1,854	0,223	-2,077	-1,738	0,2	-1,938	-2,0075
Rpn2	9	-2,773	-0,978	-1,795	-4,43	-2,239	-2,191	-1,993
Med16	9	-3,741	-2,342	-1,399	-5,278	-2,76	-2,518	-1,9585
Tmem127	10	-2,156	-0,52	-1,636	-2,84	-0,569	-2,271	-1,9535
Csde1	10	-2,141	-0,369	-1,772	-2,319	-0,228	-2,091	-1,9315
Ube2j1	10	-2,466	-0,259	-2,207	-3,057	-1,461	-1,596	-1,9015
Spi1	10	-2,78	-1,289	-1,491	-4,44	-2,153	-2,287	-1,889
Anapc13	10	-2,691	-0,818	-1,873	-3,268	-1,379	-1,889	-1,881
Strap	10	-2,68	-0,907	-1,773	-3,31	-1,354	-1,956	-1,8645
Aifm1	9	-0,8	-0,006	-0,794	-3,843	-0,91	-2,933	-1,8635
Cbfa2t3	8	-3,478	-1,601	-1,877	-3,871	-2,04	-1,831	-1,854
Dyrk1a	10	-2,66	-1,198	-1,462	-3,564	-1,33	-2,234	-1,848
Mbnl1	9	-1,001	0,707	-1,708	-1,736	0,247	-1,983	-1,8455
Rgp1	9	-0,919	0,012	-0,931	-3,153	-0,401	-2,752	-1,8415
Rhog	10	-1,76	0,089	-1,849	-2,289	-0,471	-1,818	-1,8335
Elmo1	8	-1,086	0,496	-1,582	-1,652	0,433	-2,085	-1,8335
Api5	10	-2,024	-0,556	-1,468	-3,835	-1,645	-2,19	-1,829
Cbll1	10	-0,63	0,988	-1,618	-1,25	0,786	-2,036	-1,827
C030046E11Rik	9	-1,595	-0,801	-0,794	-3,221	-0,369	-2,852	-1,823
Ints6	9	-2,324	-0,152	-2,172	-1,853	-0,389	-1,464	-1,818
Kti12	10	-3,278	-2,149	-1,129	-4,186	-1,697	-2,489	-1,809
Fus	9	-1,784	-0,425	-1,359	-2,953	-0,707	-2,246	-1,8025
Rps27l	10	-4,885	-2,548	-2,337	-5,859	-4,629	-1,23	-1,7835
Ints12	9	-1,337	0,12	-1,457	-1,42	0,618	-2,038	-1,7475
Dnaja2	9	-2,611	-0,596	-2,015	-2,292	-0,814	-1,478	-1,7465
Strbp	10	-0,747	0,151	-0,898	-2,567	0,026	-2,593	-1,7455
Samsn1	10	-1,147	0,559	-1,706	-1,471	0,31	-1,781	-1,7435
Ankrd11	10	-3,768	-2,073	-1,695	-5,265	-3,519	-1,746	-1,7205
Ubp1	9	-2,911	-2,526	-0,385	-4,936	-1,896	-3,04	-1,7125
Elmsan1	7	-0,73	0,758	-1,488	-0,919	1,015	-1,934	-1,711
Shmt2	8	-3,488	-1,905	-1,583	-4,54	-2,703	-1,837	-1,71
Ube2c	9	-2,642	-1,192	-1,45	-3,457	-1,497	-1,96	-1,705
Hmgb2	9	-2,949	-1,268	-1,681	-3,71	-1,995	-1,715	-1,698
Srp72	9	-2,17	-0,532	-1,638	-3,688	-1,957	-1,731	-1,6845
Snap29	9	-1,943	-0,47	-1,473	-2,508	-0,649	-1,859	-1,666
Ctu2	9	-2,312	-1,521	-0,791	-4,07	-1,542	-2,528	-1,6595
2310036O22Rik	7	-4,417	-2,062	-2,355	-3,159	-2,229	-0,93	-1,6425
Samd1	9	-1,09	0,139	-1,229	-1,739	0,308	-2,047	-1,638
Wdr75	9	-3,97	-3,454	-0,516	-6,134	-3,416	-2,718	-1,617
Rad23b	10	-2,08	-0,089	-1,991	-1,586	-0,346	-1,24	-1,6155
Stip1	8	-1,571	0,12	-1,691	-2,3	-0,765	-1,535	-1,613
Mcl1	9	-2,268	-0,958	-1,31	-3,144	-1,244	-1,9	-1,605
Gm10094	10	-4,549	-3,43	-1,119	-4,892	-2,805	-2,087	-1,603
Sap18	10	-4,549	-3,43	-1,119	-4,892	-2,805	-2,087	-1,603
Psmd12	10	-4,424	-2,734	-1,69	-4,586	-3,079	-1,507	-1,5985
Paf1	9	-3,625	-2,176	-1,449	-3,967	-2,227	-1,74	-1,5945
Nosip	10	-1,912	-0,554	-1,358	-1,629	0,192	-1,821	-1,5895
Bzw1	9	-0,925	0,44	-1,365	-1,568	0,245	-1,813	-1,589
Pds5b	9	-1,167	-0,01	-1,157	-2,494	-0,477	-2,017	-1,587
Anapc15	10	-1,417	-0,446	-0,971	-3,119	-0,958	-2,161	-1,566
Msl3	10	-2,341	-1,066	-1,275	-3,644	-1,795	-1,849	-1,562
Eif4b	7	-2,899	-1,264	-1,635	-2,763	-1,292	-1,471	-1,553
Ybx1	8	-2,74	-1,114	-1,626	-2,828	-1,363	-1,465	-1,5455
Rab6a	10	-3,378	-2,305	-1,073	-4,12	-2,103	-2,017	-1,545
Vac14	9	-2,641	-0,678	-1,963	-2,237	-1,12	-1,117	-1,54
Setd1b	9	-1,814	-0,18	-1,634	-1,314	0,12	-1,434	-1,534
Nudt3	10	-1,507	0,006	-1,513	-1,76	-0,207	-1,553	-1,533
Rxrb	9	-2,577	-1,418	-1,159	-2,642	-0,735	-1,907	-1,533
Fryl	9	-0,662	0,484	-1,146	-1,106	0,811	-1,917	-1,5315
Psma3	10	-5,958	-4,466	-1,492	-6,66	-5,09	-1,57	-1,531
Ptpn11	9	-0,807	0,721	-1,528	-1,086	0,443	-1,529	-1,5285
Cdc73	10	-3,661	-3,311	-0,35	-5,368	-2,661	-2,707	-1,5285
Zdhhc5	8	-2,662	-1,133	-1,529	-2,684	-1,159	-1,525	-1,527
Psmc2	8	-4,014	-2,403	-1,611	-4,529	-3,1	-1,429	-1,52
Parn	9	-2,604	-1,619	-0,985	-4,125	-2,081	-2,044	-1,5145
Ranbp3	9	-1,895	-0,244	-1,651	-1,372	-0,022	-1,35	-1,5005
Gbf1	8	-4,053	-3,015	-1,038	-4,282	-2,323	-1,959	-1,4985
Psmd7	8	-5,194	-3,826	-1,368	-5,509	-3,885	-1,624	-1,496
Gtf3c4	9	-3,598	-2,428	-1,17	-4,023	-2,209	-1,814	-1,492
Snw1	8	-3,548	-2,157	-1,391	-4,109	-2,532	-1,577	-1,484
Sp2	9	-1,585	-0,308	-1,277	-2,399	-0,718	-1,681	-1,479
Grb2	10	-0,245	0,985	-1,23	-0,609	1,118	-1,727	-1,4785
Rac2	9	-1,23	0,048	-1,278	-2,138	-0,467	-1,671	-1,4745
Smg7	9	-1,483	0,065	-1,548	-1,841	-0,442	-1,399	-1,4735
Usp39	9	-4,368	-2,939	-1,429	-5,361	-3,843	-1,518	-1,4735
Wdr48	10	-4,027	-2,945	-1,082	-4,894	-3,03	-1,864	-1,473
Aff4	10	-1,419	-0,142	-1,277	-1,3	0,365	-1,665	-1,471
Vps35	9	-2,717	-1,919	-0,798	-4,101	-1,958	-2,143	-1,4705
Ankib1	9	-1,04	-0,126	-0,914	-2,064	-0,063	-2,001	-1,4575
Szrd1	9	-2,287	-1,294	-0,993	-3,116	-1,196	-1,92	-1,4565
Mbd2	10	-1,177	-0,307	-0,87	-2,584	-0,549	-2,035	-1,4525
Hdac3	8	-4,592	-3,264	-1,328	-5,292	-3,72	-1,572	-1,45
Hectd1	8	-3,077	-1,265	-1,812	-3,487	-2,404	-1,083	-1,4475
Naa15	10	-4,639	-3,963	-0,676	-5,898	-3,69	-2,208	-1,442
Dock5	9	-1,14	0,157	-1,297	-2,015	-0,433	-1,582	-1,4395
Gabpb1	9	-3,403	-2,678	-0,725	-5,032	-2,916	-2,116	-1,4205
Csnk1a1	10	-4,138	-2,017	-2,121	-4,069	-3,352	-0,717	-1,419
Rbm8a	9	-5,879	-4,385	-1,494	-6,05	-4,714	-1,336	-1,415
Rps26	10	-5,218	-3,987	-1,231	-6,123	-4,537	-1,586	-1,4085
Dcun1d1	10	-0,402	0,952	-1,354	-0,639	0,818	-1,457	-1,4055
Pcbp1	8	-3,524	-2,053	-1,471	-3,836	-2,502	-1,334	-1,4025
Zcchc9	8	-3,139	-2,308	-0,831	-3,492	-1,532	-1,96	-1,3955
Fkbpl	10	-2,359	-1,246	-1,113	-3,323	-1,658	-1,665	-1,389
Dazap1	10	-1,325	-0,408	-0,917	-1,982	-0,128	-1,854	-1,3855
Rreb1	10	-0,823	0,226	-1,049	-1,458	0,255	-1,713	-1,381
Slc25a32	9	-2,353	-1,206	-1,147	-3,34	-1,729	-1,611	-1,379
Rfk	10	-4,983	-4,011	-0,972	-5,366	-3,582	-1,784	-1,378
Rnmt	10	-3,122	-1,769	-1,353	-3,506	-2,104	-1,402	-1,3775
Nat10	9	-4,912	-4,261	-0,651	-6,639	-4,549	-2,09	-1,3705
Elof1	10	-4,362	-3,233	-1,129	-5,33	-3,725	-1,605	-1,367
Vbp1	9	-2,213	-1,301	-0,912	-3,302	-1,488	-1,814	-1,363
Bloc1s4	8	-1,94	-0,935	-1,005	-2,572	-0,856	-1,716	-1,3605
Prrc2c	7	-2,092	-1,408	-0,684	-3,009	-0,974	-2,035	-1,3595
Cdan1	9	-4,152	-2,706	-1,446	-4,443	-3,188	-1,255	-1,3505
Elp5	10	-2,544	-1,77	-0,774	-3,335	-1,412	-1,923	-1,3485
U2surp	10	-2,655	-1,502	-1,153	-2,875	-1,335	-1,54	-1,3465
Rbm17	9	-2,488	-1,315	-1,173	-2,404	-0,891	-1,513	-1,343
Kmt2e	10	-1,252	-0,578	-0,674	-3,121	-1,12	-2,001	-1,3375
Akirin1	10	-1,223	0,187	-1,41	-0,676	0,579	-1,255	-1,3325
Zc3h10	9	-2,746	-1,483	-1,263	-3,455	-2,055	-1,4	-1,3315
Celf1	10	-1,672	-0,455	-1,217	-1,699	-0,254	-1,445	-1,331
Slc16a1	10	-4,818	-3,162	-1,656	-4,394	-3,392	-1,002	-1,329
Mycbp2	9	-1,591	-0,551	-1,04	-2,294	-0,685	-1,609	-1,3245
Sel1l	9	-3,059	-1,225	-1,834	-3,319	-2,51	-0,809	-1,3215
Sp3	9	-1,72	-0,472	-1,248	-1,934	-0,539	-1,395	-1,3215
Gnb1	10	-1,69	-1,414	-0,276	-4,156	-1,798	-2,358	-1,317
Dhx37	9	-4,277	-3,608	-0,669	-5,738	-3,776	-1,962	-1,3155
Wdr37	9	-0,571	0,495	-1,066	-0,936	0,625	-1,561	-1,3135
Vps29	10	-6,32	-4,736	-1,584	-7,165	-6,127	-1,038	-1,311
Pdcl	9	-2,27	-0,771	-1,499	-2,136	-1,016	-1,12	-1,3095
Thrap3	10	-1,669	-0,429	-1,24	-1,527	-0,179	-1,348	-1,294
Pik3r6	10	-1,39	-0,928	-0,462	-2,347	-0,224	-2,123	-1,2925
Psmd13	10	-4,595	-3,985	-0,61	-5,139	-3,168	-1,971	-1,2905
Ppp1r2	10	-3,105	-2,118	-0,987	-4,257	-2,671	-1,586	-1,2865
Rhox5	10	-1,658	-0,131	-1,527	-1,32	-0,277	-1,043	-1,285
Pinx1	9	-2,222	-1,555	-0,667	-2,362	-0,46	-1,902	-1,2845
Fam107b	7	0,433	1,709	-1,276	0,773	2,059	-1,286	-1,281
Prex1	9	-0,933	0,071	-1,004	-2,009	-0,457	-1,552	-1,278
Nat9	9	-0,88	-0,075	-0,805	-2,953	-1,211	-1,742	-1,2735
Tpr	8	-1,573	-1,185	-0,388	-2,915	-0,76	-2,155	-1,2715
Spty2d1	8	-1,325	-0,181	-1,144	-1,807	-0,408	-1,399	-1,2715
Sae1	7	-4,583	-3,016	-1,567	-4,386	-3,414	-0,972	-1,2695
Slc38a2	9	-4,429	-3,661	-0,768	-6,161	-4,394	-1,767	-1,2675
Nxf1	9	-4,101	-3,656	-0,445	-5,536	-3,452	-2,084	-1,2645
Degs1	10	-0,78	-0,001	-0,779	-1,304	0,444	-1,748	-1,2635
Brd1	10	-1,398	-0,297	-1,101	-2,515	-1,094	-1,421	-1,261
Med9	10	-1,685	-0,68	-1,005	-2,441	-0,945	-1,496	-1,2505
Ppp1r18	8	-1,302	-0,164	-1,138	-1,774	-0,412	-1,362	-1,25
Acly	9	-4,329	-3,493	-0,836	-3,964	-2,302	-1,662	-1,249
Rprd1b	10	-4,843	-3,371	-1,472	-4,565	-3,54	-1,025	-1,2485
Tor1aip2	9	-1,359	-0,136	-1,223	-1,725	-0,454	-1,271	-1,247
Snrnp200	9	-5,758	-4,794	-0,964	-6,68	-5,153	-1,527	-1,2455
Tpt1	10	-4,581	-3,745	-0,836	-5,412	-3,757	-1,655	-1,2455
Cebpd	10	-1,233	0,229	-1,462	-1,218	-0,19	-1,028	-1,245
Gypc	8	-1,436	-0,572	-0,864	-2,016	-0,392	-1,624	-1,244
Ddx1	8	-3,947	-2,104	-1,843	-3,831	-3,187	-0,644	-1,2435
Polr1d	9	-3,678	-2,705	-0,973	-4,126	-2,62	-1,506	-1,2395
Tbca	8	-5,266	-3,136	-2,13	-6,007	-5,665	-0,342	-1,236
Unk	9	-1,69	-0,33	-1,36	-2,262	-1,151	-1,111	-1,2355
Nmt1	7	-1,394	-0,871	-0,523	-3,173	-1,233	-1,94	-1,2315
Psmd1	9	-4,013	-3,245	-0,768	-4,987	-3,306	-1,681	-1,2245
Rps20	9	-5,602	-4,788	-0,814	-6,391	-4,757	-1,634	-1,224
Uhrf1	9	-3,946	-3,648	-0,298	-6,508	-4,364	-2,144	-1,221
Mthfd2	10	-3,263	-2,071	-1,192	-3,397	-2,148	-1,249	-1,2205
Mfap1b	7	-4,447	-3,363	-1,084	-5,322	-3,966	-1,356	-1,22
Mfap1a	7	-4,447	-3,363	-1,084	-5,322	-3,966	-1,356	-1,22
Usp1	10	-0,807	0,457	-1,264	-1,323	-0,154	-1,169	-1,2165
Esr1	10	-0,684	0,222	-0,906	-1,734	-0,21	-1,524	-1,215
Cpsf6	8	-2,959	-2,058	-0,901	-3,822	-2,301	-1,521	-1,211
Hira	8	-1,582	-1,051	-0,531	-2,927	-1,044	-1,883	-1,207
Dhx29	8	-4,235	-3,374	-0,861	-5,174	-3,624	-1,55	-1,2055
Nop56	10	-4,696	-4,231	-0,465	-5,749	-3,804	-1,945	-1,205
Akirin2	10	-2,514	-1,441	-1,073	-2,951	-1,622	-1,329	-1,201
Brpf1	10	-1,354	0,231	-1,585	-0,949	-0,134	-0,815	-1,2
Ing3	8	-2,576	-2,215	-0,361	-3,838	-1,8	-2,038	-1,1995
Med13l	9	-1,55	-0,473	-1,077	-2,42	-1,098	-1,322	-1,1995
Abhd16a	10	-0,838	0,379	-1,217	-0,477	0,704	-1,181	-1,199
Wdr36	9	-4,985	-4,588	-0,397	-6,453	-4,467	-1,986	-1,1915
Dph3	9	-4,739	-3,985	-0,754	-5,671	-4,047	-1,624	-1,189
Ehmt1	10	-1,752	-1,219	-0,533	-3,261	-1,418	-1,843	-1,188
Ube2g2	10	-4,072	-2,596	-1,476	-5,465	-4,568	-0,897	-1,1865
Zfyve28	7	-0,729	-0,452	-0,277	-2,537	-0,443	-2,094	-1,1855
Peo1	10	-3,663	-3,391	-0,272	-5,789	-3,691	-2,098	-1,185
Otud4	9	-1,304	-0,31	-0,994	-1,607	-0,233	-1,374	-1,184
Snrnp40	7	-3,946	-2,628	-1,318	-4,773	-3,73	-1,043	-1,1805
Ctbp1	10	-1,05	-0,334	-0,716	-1,576	0,069	-1,645	-1,1805
Erbb2ip	9	-0,426	0,462	-0,888	-1,226	0,244	-1,47	-1,179
Smarcb1	10	-2,808	-2,098	-0,71	-2,526	-0,881	-1,645	-1,1775
Rps10	10	-4,33	-4,088	-0,242	-5,022	-2,916	-2,106	-1,174
Rpl28	10	-4,689	-3,362	-1,327	-5,439	-4,42	-1,019	-1,173
Zfp710	9	-1,574	-0,484	-1,09	-1,997	-0,743	-1,254	-1,172
Lins	10	-0,733	0,292	-1,025	-1,525	-0,21	-1,315	-1,17
Cnbp	9	-0,967	0,527	-1,494	-0,691	0,153	-0,844	-1,169
Mast2	10	-0,006	0,414	-0,42	-1,849	0,062	-1,911	-1,1655
Mthfd1l	7	-2,412	-1,386	-1,026	-2,672	-1,369	-1,303	-1,1645
Gm10778	10	0,081	1,047	-0,966	-0,145	1,218	-1,363	-1,1645
Gm14351	4	-2,297	-1,843	-0,454	-3,638	-1,764	-1,874	-1,164
Pgm3	10	-3,306	-3,073	-0,233	-5,252	-3,157	-2,095	-1,164
Psmc6	10	-5,643	-4,534	-1,109	-5,667	-4,452	-1,215	-1,162
Adat2	9	-3,91	-2,862	-1,048	-4,803	-3,532	-1,271	-1,1595
Suv420h2	10	-0,159	0,889	-1,048	-1,403	-0,132	-1,271	-1,1595
Pigm	9	-1,404	-0,453	-0,951	-1,844	-0,477	-1,367	-1,159
Anp32b	10	-1,105	-0,615	-0,49	-1,828	-0,004	-1,824	-1,157
Orc4	10	-4,802	-3,481	-1,321	-5,5	-4,523	-0,977	-1,149
Hist2h3c1	10	-4,369	-3,594	-0,775	-4,986	-3,463	-1,523	-1,149
Hist2h3c2	10	-4,369	-3,594	-0,775	-4,986	-3,463	-1,523	-1,149
Srrt	9	-4,415	-2,776	-1,639	-3,503	-2,845	-0,658	-1,1485
Mbd6	6	-2,259	-2,171	-0,088	-3,519	-1,315	-2,204	-1,146
Gse1	7	-1,499	-0,638	-0,861	-3,183	-1,755	-1,428	-1,1445
Cbx5	9	-1,026	0,279	-1,305	-1,288	-0,304	-0,984	-1,1445
Runx3	9	-2,97	-2,596	-0,374	-4,605	-2,693	-1,912	-1,143
Srp9	10	-2,842	-2,048	-0,794	-3,7	-2,212	-1,488	-1,141
Scrib	10	-1,196	-0,385	-0,811	-1,481	-0,02	-1,461	-1,136
Ints8	9	-3,907	-2,592	-1,315	-3,88	-2,927	-0,953	-1,134
Naa20	10	-4,625	-3,218	-1,407	-4,647	-3,788	-0,859	-1,133
Hspa4	10	-0,976	-0,131	-0,845	-1,835	-0,418	-1,417	-1,131
Med1	10	-2,115	-1,296	-0,819	-3,618	-2,176	-1,442	-1,1305
Pdpk1	9	-3,464	-2,023	-1,441	-4,369	-3,555	-0,814	-1,1275
Ythdc1	9	-3,476	-2,344	-1,132	-3,59	-2,468	-1,122	-1,127
Tasp1	9	-1,287	-0,724	-0,563	-2,685	-0,998	-1,687	-1,125
Ncbp2	10	-5,252	-3,943	-1,309	-5,69	-4,765	-0,925	-1,117
Rarg	8	-0,928	0,154	-1,082	-1,177	-0,025	-1,152	-1,117
Pcdhb10	9	-1,488	-0,721	-0,767	-2,345	-0,879	-1,466	-1,1165
Naca	9	-1,847	-1,069	-0,778	-2,573	-1,124	-1,449	-1,1135
Hhex	9	-0,056	0,796	-0,852	-0,769	0,604	-1,373	-1,1125
Etv6	9	-1,264	-0,233	-1,031	-0,84	0,353	-1,193	-1,112
Tsn	9	-0,039	0,797	-0,836	-0,658	0,727	-1,385	-1,1105
Pacs1	9	-1,34	-0,326	-1,014	-1,551	-0,347	-1,204	-1,109
Ccdc101	10	-3,13	-1,423	-1,707	-2,71	-2,199	-0,511	-1,109
Col4a5	7	-1,21	-1,022	-0,188	-2,88	-0,853	-2,027	-1,1075
Rrp36	10	-3,913	-2,44	-1,473	-3,819	-3,078	-0,741	-1,107
Whsc1	10	-1,491	-0,403	-1,088	-1,371	-0,247	-1,124	-1,106
Smarca4	10	-2,088	-1,271	-0,817	-2,465	-1,072	-1,393	-1,105
Exosc2	10	-5,301	-4,403	-0,898	-4,798	-3,487	-1,311	-1,1045
Ccnd2	7	-1,838	-0,785	-1,053	-2,095	-0,94	-1,155	-1,104
Rbm25	7	-2,007	-1,341	-0,666	-2,968	-1,428	-1,54	-1,103
Cited2	9	-2,994	-1,149	-1,845	-2,559	-2,199	-0,36	-1,1025
Arl14ep	10	0,157	1,06	-0,903	-0,88	0,418	-1,298	-1,1005
Nudt4	9	-1,412	-0,362	-1,05	-1,673	-0,524	-1,149	-1,0995
Med18	10	-4,586	-3,468	-1,118	-4,964	-3,895	-1,069	-1,0935
Kif18a	9	-1,021	-0,386	-0,635	-1,641	-0,089	-1,552	-1,0935
Myo9b	10	-1,605	-0,844	-0,761	-2,471	-1,046	-1,425	-1,093
C1d	10	-4,513	-3,586	-0,927	-5,064	-3,813	-1,251	-1,089
Yipf5	8	-0,838	0,268	-1,106	-1,322	-0,257	-1,065	-1,0855
Jmjd1c	10	-0,944	-0,212	-0,732	-0,913	0,522	-1,435	-1,0835
Rps5	10	-6,922	-5,885	-1,037	-7,441	-6,314	-1,127	-1,082
Rabep1	10	-0,863	-0,127	-0,736	-1,903	-0,48	-1,423	-1,0795
Zbtb22	7	-1,741	-1,064	-0,677	-2,659	-1,18	-1,479	-1,078
Usp19	10	-1,105	-0,244	-0,861	-1,978	-0,688	-1,29	-1,0755
Copz1	10	-2,723	-2,326	-0,397	-4,352	-2,603	-1,749	-1,073
Card10	8	-1,147	-1,009	-0,138	-3,686	-1,682	-2,004	-1,071
Ankrd13a	9	-0,794	-0,053	-0,741	-1,26	0,141	-1,401	-1,071
Phlpp1	9	-1,944	-0,983	-0,961	-2,489	-1,311	-1,178	-1,0695
Gid4	9	-0,853	-0,393	-0,46	-1,378	0,301	-1,679	-1,0695
Mlst8	10	-1,043	-0,575	-0,468	-2,896	-1,226	-1,67	-1,069
Rpl22l1	10	-4,277	-3,863	-0,414	-5,943	-4,22	-1,723	-1,0685
Med24	10	-4,457	-3,5	-0,957	-4,989	-3,811	-1,178	-1,0675
Cebpe	10	-0,727	0,796	-1,523	0,653	1,262	-0,609	-1,066
Ahsa1	8	-0,389	0,49	-0,879	-0,354	0,897	-1,251	-1,065
Nr2c2ap	10	-1,947	-1,754	-0,193	-2,64	-0,706	-1,934	-1,0635
Aen	10	-1,935	-1,238	-0,697	-3,143	-1,717	-1,426	-1,0615
Nudcd3	10	-3,857	-3,612	-0,245	-5,713	-3,842	-1,871	-1,058
Ssrp1	8	-3,267	-2,267	-1	-4,362	-3,251	-1,111	-1,0555
Dpf2	8	-1,003	-0,419	-0,584	-2,064	-0,538	-1,526	-1,055
