Gene 1	Gene 2	Group 1	Group 2	Source	SynLet q-value	Buffer q-value
AKT1	AKT3	AKT	AKT	no A375	0.097409091	1
AKT1	AKT2	AKT	AKT	no A375	0.1004	1
AKT1	MAPK3	AKT	Mapk	no A549	0.109493151	1
AKT1	MAPK3	AKT	Mapk	no HT29	0.116559322	1
AKT1	UBB	AKT	Red	no A375	0.136350877	1
AKT1	AKT2	AKT	AKT	no OVCAR8	0.138491228	1
AKT1	MAPK3	AKT	Mapk	no OVCAR8	0.148741935	1
AKT1	AKT2	AKT	AKT	no Meljuso	0.155942857	1
AKT1	UBB	AKT	Red	no HT29	0.161712121	1
AKT1	AKT3	AKT	AKT	no Meljuso	0.162605634	1
AKT1	UBB	AKT	Red	no A549	0.180967033	1
AKT1	UBB	AKT	Red	no OVCAR8	0.205247059	1
AKT1	AKT3	AKT	AKT	no A549	0.215485149	1
AKT1	MAPK3	AKT	Mapk	no A375	0.270122222	1
AKT1	AKT2	AKT	AKT	no 786O	0.274225806	1
AKT1	BRCA1	AKT	BrPa	no 786O	0.344434211	1
AKT1	CD81	AKT	Ctrl	no 786O	0.344434211	1
AKT1	CD81	AKT	Ctrl	no A375	0.365692982	1
AKT1	BRCA1	AKT	BrPa	no Meljuso	0.377260274	1
AKT1	CD81	AKT	Ctrl	no HT29	0.402942857	1
AKT1	CD81	AKT	Ctrl	no Meljuso	0.431203822	1
AKT1	CD81	AKT	Ctrl	no OVCAR8	0.443473054	1
AKT1	MTOR	AKT	Predict	no A375	0.448337748	1
AKT1	AKT3	AKT	AKT	no OVCAR8	0.456868571	1
AKT1	MTOR	AKT	Predict	no HT29	0.463289308	1
AKT1	PARP2	AKT	BrPa	no Meljuso	0.484915842	1
AKT1	CD81	AKT	Ctrl	no A549	0.491191781	1
AKT1	MCL1	AKT	Apop	no A549	0.491191781	1
AKT1	MAP2K1	AKT	Mapk	All 6	1	1
AKT1	BCL2A1	AKT	Apop	All 6	1	1
AKT1	UBC	AKT	Red	All 6	1	1
AKT1	BRCA1	AKT	BrPa	no A375	0.511302469	1
AKT1	BRCA1	AKT	BrPa	no OVCAR8	0.516317204	1
AKT1	AKT3	AKT	AKT	no 786O	0.529788945	1
AKT1	WEE1	AKT	Predict	no Meljuso	0.536368182	1
AKT1	IMPDH1	AKT	Predict	no HT29	0.539870466	1
AKT1	MCL1	AKT	Apop	no 786O	0.551054054	1
AKT1	MAP2K2	AKT	Mapk	no A375	0.559731429	1
AKT1	MTOR	AKT	Predict	no OVCAR8	0.57093722	1
AKT1	MTOR	AKT	Predict	no 786O	0.575039648	1
AKT1	MCL1	AKT	Apop	no OVCAR8	0.604426724	1
AKT1	MAP2K2	AKT	Mapk	no A549	0.605836502	1
AKT1	IMPDH1	AKT	Predict	no 786O	0.622598513	1
AKT1	6T	AKT	Ctrl	no A549	0.658647482	1
AKT1	6T	AKT	Ctrl	no HT29	0.662655738	1
AKT1	PARP2	AKT	BrPa	no 786O	0.677053691	1
AKT1	PARP2	AKT	BrPa	no A375	0.683004386	1
AKT1	IMPDH1	AKT	Predict	no A375	0.689596639	1
AKT1	BRCA1	AKT	BrPa	no A549	0.692369637	1
AKT1	MCL1	AKT	Apop	no Meljuso	0.69927881	1
AKT1	IMPDH1	AKT	Predict	no OVCAR8	0.701201493	1
AKT1	WEE1	AKT	Predict	no OVCAR8	0.7130625	1
AKT1	IMPDH1	AKT	Predict	no Meljuso	0.725910035	1
AKT1	AKT2	AKT	AKT	no HT29	0.734953237	1
AKT1	MCL1	AKT	Apop	no A375	0.73621673	1
AKT1	6T	AKT	Ctrl	no A375	0.736481061	1
AKT1	PARP2	AKT	BrPa	no A549	0.75910061	1
AKT1	PARP2	AKT	BrPa	no HT29	0.770379085	1
AKT1	BCL2A1	AKT	Apop	no A549	0.777775148	1
AKT1	WEE1	AKT	Predict	no 786O	0.79196904	1
AKT1	MAP2K1	AKT	Mapk	no A375	0.80719544	1
AKT1	MCL1	AKT	Apop	no HT29	0.816171875	1
AKT1	6T	AKT	Ctrl	no OVCAR8	0.819089783	1
AKT1	MAP2K2	AKT	Mapk	no OVCAR8	0.822424615	1
AKT1	6T	AKT	Ctrl	no Meljuso	0.825891892	1
AKT1	WEE1	AKT	Predict	no HT29	0.82654955	1
AKT1	6T	AKT	Ctrl	no 786O	0.832681416	1
AKT1	PARP2	AKT	BrPa	no OVCAR8	0.880840456	1
AKT1	BRCA1	AKT	BrPa	no HT29	0.882570248	1
AKT1	WEE1	AKT	Predict	no A549	0.886071053	1
AKT1	MTOR	AKT	Predict	no Meljuso	0.889070225	1
AKT1	WEE1	AKT	Predict	no A375	0.897151436	1
AKT1	MAP2K2	AKT	Mapk	no Meljuso	0.918914948	1
AKT1	UBC	AKT	Red	no OVCAR8	0.928594086	1
AKT1	PARP1	AKT	BrPa	no OVCAR8	0.929398396	1
AKT1	MAP2K2	AKT	Mapk	no HT29	0.940893671	1
AKT1	PARP1	AKT	BrPa	no Meljuso	0.951901961	1
AKT1	UBC	AKT	Red	no A375	0.967088517	1
AKT1	UBC	AKT	Red	no Meljuso	0.983116945	1
AKT1	BCL2A1	AKT	Apop	no OVCAR8	0.992644501	1
AKT1	MAP2K1	AKT	Mapk	no 786O	1	1
AKT1	BCL2L1	AKT	Apop	no 786O	1	1
AKT1	MAP2K2	AKT	Mapk	All 6	0.74760303	1
AKT1	BCL2A1	AKT	Apop	no 786O	1	1
AKT1	MAP2K2	AKT	Mapk	no 786O	1	1
AKT1	UBC	AKT	Red	no 786O	1	1
AKT1	BCL2L10	AKT	Apop	no 786O	1	1
AKT1	PARP1	AKT	BrPa	no 786O	1	1
AKT1	WEE1	AKT	Predict	All 6	0.708598662	1
AKT1	6T	AKT	Ctrl	All 6	0.697715254	1
AKT1	IMPDH1	AKT	Predict	All 6	0.694938567	1
AKT1	BCL2L1	AKT	Apop	no A375	1	1
AKT1	BCL2A1	AKT	Apop	no A375	1	1
AKT1	PARP1	AKT	BrPa	no A375	1	1
AKT1	PARP2	AKT	BrPa	All 6	0.649272727	1
AKT1	BCL2L1	AKT	Apop	no A549	1	1
AKT1	UBC	AKT	Red	no A549	1	1
AKT1	MAP2K1	AKT	Mapk	no A549	1	1
AKT1	MTOR	AKT	Predict	All 6	0.594574803	1
AKT1	MTOR	AKT	Predict	no A549	1	1
AKT1	MCL1	AKT	Apop	All 6	0.563504202	1
AKT1	BCL2L10	AKT	Apop	no A549	1	1
AKT1	IMPDH1	AKT	Predict	no A549	1	1
AKT1	BRCA1	AKT	BrPa	All 6	0.49486802	1
AKT1	MAP2K1	AKT	Mapk	no HT29	1	1
AKT1	UBC	AKT	Red	no HT29	1	1
AKT1	BCL2A1	AKT	Apop	no HT29	1	1
AKT1	PARP1	AKT	BrPa	no HT29	1	1
AKT1	BCL2L1	AKT	Apop	no Meljuso	1	1
AKT1	CHEK1	AKT	Predict	no Meljuso	1	1
AKT1	CD81	AKT	Ctrl	All 6	0.33059589	1
AKT1	MAP2K1	AKT	Mapk	no Meljuso	1	1
AKT1	BCL2A1	AKT	Apop	no Meljuso	1	1
AKT1	MAP2K1	AKT	Mapk	no OVCAR8	1	1
AKT3	AKT2	AKT	AKT	All 6	0.041675	1
AKT1	AKT2	AKT	AKT	All 6	0.103060606	1
AKT1	UBB	AKT	Red	All 6	0.079183333	1
AKT1	MAPK3	AKT	Mapk	All 6	0.068245283	1
AKT1	AKT2	AKT	AKT	HT29	0.001196429	1
AKT2	AKT1	AKT	AKT	HT29	0.001196429	1
AKT2	AKT3	AKT	AKT	Meljuso	0.091690537	1
AKT3	AKT2	AKT	AKT	Meljuso	0.091690537	1
AKT1	AKT3	AKT	AKT	OVCAR8	0.131108929	1
AKT1	BCL2L2	AKT	Apop	A375	1	0.190863529
AKT1	BRCA2	AKT	BrPa	HT29	1	0.23928174
AKT1	MAP2K1	AKT	Mapk	A375	1	0.271479866
AKT3	AKT1	AKT	AKT	OVCAR8	0.131108929	1
AKT1	CHEK2	AKT	Predict	A549	1	0.362133226
AKT1	BCL2	AKT	Apop	786O	1	0.372807693
AKT1	EEF2	AKT	Ctrl	A549	1	0.384497339
AKT1	EEF2	AKT	Ctrl	786O	1	0.43247213
AKT1	BCL2	AKT	Apop	Meljuso	1	0.435591551
AKT1	MAPK1	AKT	Mapk	Meljuso	1	0.459873996
AKT1	BCL2L2	AKT	Apop	A549	1	0.481472754
AKT1	HSP90AA1	AKT	Predict	A375	1	0.528746474
AKT1	BCL2L2	AKT	Apop	OVCAR8	1	0.532868254
AKT1	BCL2L1	AKT	Apop	A375	1	0.550738701
AKT1	BCL2L2	AKT	Apop	Meljuso	1	0.561757257
AKT1	BCL2	AKT	Apop	A375	1	0.578286286
AKT1	BCL2L1	AKT	Apop	A549	1	0.599926926
AKT1	MAPK1	AKT	Mapk	HT29	1	0.605105252
AKT1	BCL2	AKT	Apop	OVCAR8	1	0.609636569
AKT1	HPRT intron	AKT	Ctrl	Meljuso	1	0.628581744
AKT1	MAP2K2	AKT	Mapk	A375	1	0.631576379
AKT1	HSP90AA1	AKT	Predict	786O	1	0.645258444
AKT1	EEF2	AKT	Ctrl	OVCAR8	1	0.646146043
AKT2	AKT3	AKT	AKT	A375	0.347538651	1
AKT1	CHEK1	AKT	Predict	Meljuso	1	0.715958659
AKT1	PARP2	AKT	BrPa	Meljuso	1	0.715958659
AKT1	WEE1	AKT	Predict	Meljuso	1	0.72175519
AKT1	MTOR	AKT	Predict	A375	1	0.727889953
AKT1	BRCA2	AKT	BrPa	Meljuso	1	0.733176771
AKT1	BCL2A1	AKT	Apop	A549	0.970146667	0.76675641
AKT1	HSP90AA1	AKT	Predict	OVCAR8	1	0.773601229
AKT1	CHEK1	AKT	Predict	HT29	0.957913945	0.777055
AKT1	BCL2L10	AKT	Apop	A549	1	0.779234927
AKT1	HPRT intron	AKT	Ctrl	A375	0.986434455	0.78719697
AKT1	EEF2	AKT	Ctrl	HT29	0.969127304	0.787923507
AKT1	BCL2	AKT	Apop	HT29	1	0.791292773
AKT1	EEF2	AKT	Ctrl	Meljuso	1	0.809312633
AKT1	HPRT intron	AKT	Ctrl	OVCAR8	1	0.814702223
AKT1	CHEK2	AKT	Predict	A375	1	0.844120815
AKT1	6T	AKT	Ctrl	HT29	1	0.844723389
AKT1	PARP1	AKT	BrPa	Meljuso	1	0.846026775
AKT1	BCL2L1	AKT	Apop	786O	1	0.847317102
AKT1	CHEK2	AKT	Predict	Meljuso	1	0.863255491
AKT1	CHEK2	AKT	Predict	OVCAR8	1	0.865017452
AKT3	AKT2	AKT	AKT	A375	0.347538651	1
AKT1	MAPK1	AKT	Mapk	A549	1	0.868565446
AKT1	MCL1	AKT	Apop	A549	0.999571839	0.877609487
AKT1	BRCA1	AKT	BrPa	786O	1	0.878863395
AKT1	MAP2K2	AKT	Mapk	A549	0.911703358	0.887004065
AKT1	CHEK1	AKT	Predict	A375	0.977088568	0.888841503
AKT1	BCL2L10	AKT	Apop	Meljuso	1	0.892175815
AKT1	BCL2A1	AKT	Apop	OVCAR8	1	0.892791195
AKT1	CHEK1	AKT	Predict	OVCAR8	1	0.900314364
AKT1	BRCA1	AKT	BrPa	Meljuso	0.985311111	0.90119964
AKT1	MTOR	AKT	Predict	HT29	0.910181559	0.902114286
AKT1	UBC	AKT	Red	OVCAR8	1	0.903610721
AKT1	IMPDH1	AKT	Predict	HT29	0.937168218	0.904074324
AKT1	BRCA2	AKT	BrPa	A549	1	0.906230514
AKT1	MAPK1	AKT	Mapk	A375	0.896609375	0.917243304
AKT2	AKT3	AKT	AKT	OVCAR8	0.352597917	1
AKT1	UBC	AKT	Red	A375	0.896609375	0.925001416
AKT1	PARP2	AKT	BrPa	A375	0.95422	0.925001416
AKT1	BRCA2	AKT	BrPa	786O	1	0.926732688
AKT1	UBC	AKT	Red	Meljuso	0.985311111	0.932350144
AKT1	HSP90AA1	AKT	Predict	Meljuso	0.964578704	0.932584286
AKT1	PARP1	AKT	BrPa	OVCAR8	1	0.939051446
AKT1	BCL2L10	AKT	Apop	OVCAR8	1	0.940443066
AKT1	BCL2L1	AKT	Apop	OVCAR8	0.976266667	0.940727376
AKT1	CHEK2	AKT	Predict	786O	1	0.941535091
AKT1	MAP2K1	AKT	Mapk	HT29	0.871076149	0.942121926
AKT1	WEE1	AKT	Predict	OVCAR8	1	0.943325217
AKT1	BCL2L10	AKT	Apop	786O	1	0.945087722
AKT1	PARP1	AKT	BrPa	786O	1	0.947354445
AKT1	IMPDH1	AKT	Predict	786O	1	0.949339857
AKT1	HSP90AA1	AKT	Predict	HT29	1	0.949595116
AKT1	HSP90AA1	AKT	Predict	A549	1	0.950789387
AKT1	HPRT intron	AKT	Ctrl	786O	1	0.951015613
AKT1	6T	AKT	Ctrl	A375	0.689289683	0.953347625
AKT1	BCL2L1	AKT	Apop	Meljuso	0.9321875	0.953775538
AKT1	UBB	AKT	Red	Meljuso	0.926232857	0.957473822
AKT1	MAP2K1	AKT	Mapk	Meljuso	0.993942837	0.962225424
AKT1	MAP2K1	AKT	Mapk	A549	0.970146667	0.969190299
AKT1	HPRT intron	AKT	Ctrl	HT29	0.933823782	0.970486441
AKT1	MAPK1	AKT	Mapk	OVCAR8	0.986317308	0.973080586
AKT1	UBC	AKT	Red	786O	0.961114553	0.973530325
AKT1	MTOR	AKT	Predict	786O	0.981201571	0.973530325
AKT1	WEE1	AKT	Predict	786O	0.961114553	0.975797047
AKT1	BRCA1	AKT	BrPa	A375	0.922721893	0.976409439
AKT1	MTOR	AKT	Predict	OVCAR8	0.996484637	0.976806365
AKT1	BCL2A1	AKT	Apop	786O	0.965389344	0.978846322
AKT1	CHEK1	AKT	Predict	786O	0.90893361	0.979458216
AKT1	PARP2	AKT	BrPa	786O	0.916798828	0.979458216
AKT1	UBB	AKT	Red	786O	0.899071888	0.979594236
AKT1	CHEK2	AKT	Predict	HT29	0.963125	0.982528329
AKT1	BCL2L2	AKT	Apop	HT29	0.979833333	0.982528329
AKT1	IMPDH1	AKT	Predict	OVCAR8	0.987874277	0.982994118
AKT1	MCL1	AKT	Apop	786O	0.993640625	0.984651666
AKT1	MAPK3	AKT	Mapk	786O	0.950641638	0.990204284
AKT3	AKT2	AKT	AKT	OVCAR8	0.352597917	1
AKT1	HPRT intron	AKT	Ctrl	A549	0.981320876	0.990605422
AKT1	MCL1	AKT	Apop	OVCAR8	0.976266667	0.992892259
AKT1	IMPDH1	AKT	Predict	A375	0.905205696	0.993741315
AKT1	IMPDH1	AKT	Predict	Meljuso	0.97884322	0.994433252
AKT1	BCL2A1	AKT	Apop	Meljuso	0.907507974	0.996231463
AKT1	AKT3	AKT	AKT	786O	0.357387255	0.999987515
AKT3	AKT1	AKT	AKT	786O	0.357387255	0.999987515
AKT1	MAP2K1	AKT	Mapk	786O	0.462907813	0.999987515
AKT1	MAP2K2	AKT	Mapk	786O	0.586845997	0.999987515
AKT1	6T	AKT	Ctrl	786O	0.658624151	0.999987515
AKT1	BCL2L2	AKT	Apop	786O	0.80321887	0.999987515
AKT1	MAPK1	AKT	Mapk	786O	0.822636174	0.999987515
AKT1	CD81	AKT	Ctrl	786O	0.855503067	0.999987515
AKT1	AKT2	AKT	AKT	786O	0.449608333	0.999987515
AKT2	AKT1	AKT	AKT	786O	0.449608333	0.999987515
AKT1	IMPDH1	AKT	Predict	A549	0.242193838	1
AKT1	MAPK3	AKT	Mapk	A375	0.242518519	1
AKT1	UBB	AKT	Red	A549	0.352884918	1
AKT1	UBB	AKT	Red	OVCAR8	0.356539007	1
AKT1	EEF2	AKT	Ctrl	A375	0.399664683	1
AKT1	MTOR	AKT	Predict	A549	0.454892413	1
AKT1	MAPK3	AKT	Mapk	OVCAR8	0.487393939	1
AKT1	BRCA1	AKT	BrPa	A549	0.501162037	1
AKT1	BRCA1	AKT	BrPa	HT29	0.506254942	1
AKT1	MCL1	AKT	Apop	HT29	0.575825472	1
AKT1	UBC	AKT	Red	A549	0.585200258	1
AKT1	MAPK3	AKT	Mapk	A549	0.595980018	1
AKT1	BCL2A1	AKT	Apop	A375	0.598712816	1
AKT1	PARP2	AKT	BrPa	OVCAR8	0.617576973	1
AKT1	WEE1	AKT	Predict	A375	0.619500273	1
AKT2	AKT3	AKT	AKT	786O	0.45841712	0.999987515
AKT1	6T	AKT	Ctrl	A549	0.628796667	1
AKT1	CD81	AKT	Ctrl	A549	0.654372209	1
AKT1	UBB	AKT	Red	A375	0.658742461	1
AKT1	MTOR	AKT	Predict	Meljuso	0.670905072	1
AKT1	MAP2K2	AKT	Mapk	HT29	0.673603596	1
AKT1	BCL2	AKT	Apop	A549	0.691794172	1
AKT1	MCL1	AKT	Apop	A375	0.699986031	1
AKT1	UBB	AKT	Red	HT29	0.726875584	1
AKT1	6T	AKT	Ctrl	Meljuso	0.72933408	1
AKT1	BCL2L10	AKT	Apop	A375	0.738140303	1
AKT1	CD81	AKT	Ctrl	Meljuso	0.743148718	1
AKT1	WEE1	AKT	Predict	A549	0.747600029	1
AKT1	MAPK3	AKT	Mapk	Meljuso	0.750066487	1
AKT1	MAPK3	AKT	Mapk	HT29	0.752856204	1
AKT1	BCL2L1	AKT	Apop	HT29	0.766298011	1
AKT1	PARP1	AKT	BrPa	A549	0.775863251	1
AKT1	MCL1	AKT	Apop	Meljuso	0.780541021	1
AKT3	AKT2	AKT	AKT	786O	0.45841712	0.999987515
AKT1	CD81	AKT	Ctrl	A375	0.80488295	1
AKT1	BCL2L10	AKT	Apop	HT29	0.804899932	1
AKT1	PARP2	AKT	BrPa	HT29	0.808968319	1
AKT1	UBC	AKT	Red	HT29	0.820363118	1
AKT1	WEE1	AKT	Predict	HT29	0.822265191	1
AKT1	CD81	AKT	Ctrl	HT29	0.848732854	1
AKT1	PARP2	AKT	BrPa	A549	0.861199063	1
AKT1	CD81	AKT	Ctrl	OVCAR8	0.865293027	1
AKT1	PARP1	AKT	BrPa	A375	0.86732232	1
AKT1	AKT3	AKT	AKT	A549	0.625201261	1
AKT1	BCL2A1	AKT	Apop	HT29	0.875441196	1
AKT1	BRCA2	AKT	BrPa	A375	0.880843675	1
AKT3	AKT1	AKT	AKT	A549	0.625201261	1
AKT1	6T	AKT	Ctrl	OVCAR8	0.890883305	1
AKT1	PARP1	AKT	BrPa	HT29	0.896454003	1
AKT1	MAP2K2	AKT	Mapk	Meljuso	0.914950558	1
AKT1	BRCA2	AKT	BrPa	OVCAR8	0.917184032	1
AKT1	BRCA1	AKT	BrPa	OVCAR8	0.936601361	1
AKT1	CHEK1	AKT	Predict	A549	0.938386301	1
AKT1	MAP2K1	AKT	Mapk	OVCAR8	0.940674255	1
AKT1	MAP2K2	AKT	Mapk	OVCAR8	0.954764158	1
AKT2	AKT2	AKT	AKT	no 786O	1	0.0001
AKT2	AKT2	AKT	AKT	no A375	1	0.0001
AKT2	AKT2	AKT	AKT	no A549	1	0.0001
AKT2	AKT2	AKT	AKT	no HT29	1	0.0001
AKT2	AKT2	AKT	AKT	no Meljuso	1	0.0001
AKT2	AKT2	AKT	AKT	no OVCAR8	1	0.0001
AKT2	AKT1	AKT	AKT	All 6	0.103060606	1
AKT2	MAP2K2	AKT	Mapk	no OVCAR8	1	0.049886364
AKT2	EEF2	AKT	Ctrl	no HT29	1	0.069150943
AKT2	MAP2K1	AKT	Mapk	no 786O	1	0.074074074
AKT2	MAP2K1	AKT	Mapk	no Meljuso	1	0.097542857
AKT2	MAP2K2	AKT	Mapk	no HT29	1	0.107528571
AKT2	MAP2K1	AKT	Mapk	All 6	1	0.11685
AKT2	MAP2K2	AKT	Mapk	All 6	1	0.117259259
AKT2	MAP2K1	AKT	Mapk	no OVCAR8	1	0.129043478
AKT2	EEF2	AKT	Ctrl	no OVCAR8	1	0.1312
AKT2	BCL2A1	AKT	Apop	no Meljuso	1	0.133013158
AKT2	MAP2K2	AKT	Mapk	no Meljuso	1	0.151228916
AKT2	UBC	AKT	Red	no HT29	1	0.152234043
AKT2	UBC	AKT	Red	no Meljuso	1	0.153928571
AKT2	EEF2	AKT	Ctrl	All 6	1	0.156768421
AKT2	MAP2K1	AKT	Mapk	no A549	1	0.162228916
AKT2	UBC	AKT	Red	All 6	1	0.165714286
AKT2	BRCA2	AKT	BrPa	no A549	1	0.169869048
AKT2	BRCA2	AKT	BrPa	no 786O	1	0.195415842
AKT2	EEF2	AKT	Ctrl	no 786O	1	0.207630631
AKT2	UBC	AKT	Red	no 786O	1	0.207630631
AKT2	BCL2A1	AKT	Apop	no A375	1	0.2182
AKT2	BCL2A1	AKT	Apop	All 6	1	0.218991453
AKT2	MAP2K2	AKT	Mapk	no A375	1	0.225779221
AKT2	BRCA1	AKT	BrPa	no 786O	1	0.22662931
AKT2	BRCA2	AKT	BrPa	All 6	1	0.23224
AKT2	EEF2	AKT	Ctrl	no A375	1	0.25344086
AKT2	BCL2A1	AKT	Apop	no 786O	1	0.275398601
AKT2	MAP2K2	AKT	Mapk	no 786O	1	0.299420382
AKT2	IMPDH1	AKT	Predict	no A549	1	0.308726115
AKT2	BCL2A1	AKT	Apop	no OVCAR8	1	0.310024
AKT2	UBC	AKT	Red	no OVCAR8	1	0.310024
AKT2	UBC	AKT	Red	no A375	1	0.321243243
AKT2	MAP2K2	AKT	Mapk	no A549	1	0.335054217
AKT2	BRCA2	AKT	BrPa	no Meljuso	1	0.343620438
AKT2	EEF2	AKT	Ctrl	no Meljuso	1	0.361367347
AKT2	BCL2L1	AKT	Apop	no A549	1	0.380965517
AKT2	MAP2K1	AKT	Mapk	no A375	1	0.390697674
AKT2	BRCA1	AKT	BrPa	All 6	1	0.410561497
AKT2	BRCA2	AKT	BrPa	no A375	1	0.410647059
AKT2	BRCA1	AKT	BrPa	no HT29	1	0.412470588
AKT2	BRCA2	AKT	BrPa	no HT29	1	0.412470588
AKT2	CHEK1	AKT	Predict	no 786O	1	0.420154639
AKT2	BCL2A1	AKT	Apop	no HT29	1	0.435792683
AKT2	EEF2	AKT	Ctrl	no A549	1	0.443359606
AKT2	BRCA2	AKT	BrPa	no OVCAR8	1	0.457403226
AKT2	BRCA1	AKT	BrPa	no A549	1	0.499855895
AKT2	IMPDH1	AKT	Predict	All 6	1	0.517004525
AKT2	MAPK1	AKT	Mapk	no A549	1	0.529468619
AKT2	BRCA1	AKT	BrPa	no OVCAR8	1	0.541347222
