Gene_Pair	GeneA y Phenotype	GeneB y Phenotype	"GeneAB Observed y Phenotype"	GeneAB RawGI	GeneAB NormGI	GeneAB GIT score	GeneAB GIM score	"Correlation of GI profiles (GIT score)"	"Correlation of GI profiles (GIM score)"	q-values based on GIM score
APEX1__PARP1	-2,369	-3,299	-6,376	-0,639	-0,930	-3,551	-4,450	-0,045	-0,072	0,006061175
ACVRL1__AMHR2	-0,850	-1,067	-2,060	-0,369	-0,646	-3,549	-4,272	0,113	0,070	0,007943477
CHD1__TK1	-1,547	-1,890	-3,697	-0,511	-0,838	-3,546	-3,358	0,195	0,124	0,025667957
EPHB4__PTPRJ	-0,079	-1,014	-1,170	-0,389	-0,705	-3,539	-3,614	-0,014	-0,064	0,019625749
GPX1__NAGK	-1,005	-0,739	-2,237	-0,430	-0,814	-3,533	-4,841	0,034	-0,049	0,003404929
CAMK2A__DMPK	-0,737	-1,362	-2,794	-0,426	-0,800	-3,518	-2,787	0,068	0,070	0,044879956
CYP4F12__SRC	-2,447	0,012	-2,371	-0,402	-0,707	-3,515	-1,431	0,013	0,072	0,16130027
LIG1__PARP1	-2,514	-3,299	-6,304	-0,473	-0,748	-3,493	-3,904	-0,137	-0,122	0,013168738
MMP25__PIK3R2	-0,437	-1,287	-2,293	-0,405	-0,808	-3,490	-5,051	0,071	0,040	0,002230953
CDC25A__SRC	-3,276	0,012	-4,124	-0,541	-0,844	-3,482	-3,426	-0,002	0,058	0,023866586
AKT2__HMGCR	-3,476	-4,338	-8,090	-0,612	-0,811	-3,475	-3,046	-0,023	-0,063	0,034955257
ADRBK1__ALAD	-0,953	-4,894	-6,523	-0,493	-0,715	-3,457	-3,463	-0,016	-0,007	0,022999874
DBH__PIK3CD	-1,058	-1,372	-2,972	-0,677	-1,085	-3,448	-3,797	0,090	0,087	0,014808904
PRKCZ__TK1	-1,211	-1,890	-3,513	-0,606	-0,968	-3,442	-1,834	0,243	0,123	0,109790803
GPX1__TYK2	-1,005	-1,079	-2,610	-0,489	-0,849	-3,426	-2,875	0,044	0,058	0,04172982
ACVR1__ATM	-0,009	-1,456	-1,747	-0,407	-0,765	-3,425	-3,524	-0,015	0,039	0,021695354
CIT__STMN1	-4,565	-3,308	-8,568	-0,755	-0,778	-3,417	-5,738	-0,060	-0,062	0,000732392
BCL2L1__DOT1L	-5,370	-5,960	-11,182	-1,055	-0,809	-3,411	-3,766	-0,019	-0,024	0,015429079
CYP4F12__PTK6	-2,447	-0,728	-3,565	-0,449	-0,752	-3,402	-5,225	0,094	0,095	0,001707039
EHMT2__GPX1	-0,955	-1,005	-4,487	-0,660	-1,057	-3,380	-2,992	0,094	0,110	0,037642082
LCK__NOS2	-2,887	-1,122	-4,223	-0,433	-0,705	-3,366	-2,972	0,067	0,101	0,038476421
KSR1__SLC16A5	-0,783	-1,334	-2,641	-0,341	-0,650	-3,363	-2,279	0,035	0,072	0,074413605
AMHR2__PRKCZ	-1,067	-1,211	-3,110	-0,541	-0,867	-3,359	-2,922	0,058	0,049	0,040664089
FGFR3__POMC	-0,912	-0,616	-1,822	-0,450	-0,844	-3,336	-2,729	0,070	0,089	0,047538531
PIK3CB__TK1	0,064	-1,890	-2,262	-0,566	-1,097	-3,329	-2,402	0,184	0,122	0,065523936
AOC3__PIK3C2B	-1,567	-0,665	-3,100	-0,538	-0,878	-3,308	-3,830	0,057	0,043	0,014394181
PRODH__TST	-2,250	-0,442	-3,084	-0,513	-0,902	-3,304	-3,449	0,136	0,129	0,023258048
ATR__MST1R	-10,398	-0,732	-10,795	-0,844	-0,733	-3,304	-4,051	-0,040	-0,017	0,011154647
GPI__PIK3CG	-3,285	-1,010	-4,806	-0,561	-0,858	-3,304	-3,844	-0,061	-0,014	0,014361042
IL12A__PIM2	-0,186	-2,275	-2,780	-0,518	-0,899	-3,296	-2,312	-0,047	-0,085	0,072212466
AOC3__NDUFA4L2	-1,567	-1,573	-3,632	-0,360	-0,628	-3,293	-3,765	-0,027	-0,035	0,015379499
LCK__MAP3K8	-2,887	-0,015	-3,580	-0,462	-0,793	-3,287	-4,437	0,024	0,061	0,006174357
PFKFB1__UCK2	-0,008	-0,763	-0,928	-0,373	-0,702	-3,286	-2,486	-0,108	-0,106	0,060297344
NR5A1__STMN1	-0,415	-3,308	-4,609	-0,509	-0,800	-3,283	-3,039	-0,045	-0,049	0,035264759
MAP3K8__SLC16A8	-0,015	-1,458	-1,854	-0,422	-0,861	-3,274	-1,888	0,108	0,157	0,103950853
CSF3R__MAPKAPK2	-2,260	-0,789	-3,291	-0,410	-0,687	-3,269	-2,088	0,005	0,013	0,087794898
CDK2__CRYBB1	-4,432	-0,615	-5,627	-0,967	-1,446	-3,268	-2,198	-0,029	-0,089	0,079191979
BCAT2__SLC5A5	-1,032	-0,791	-2,473	-0,423	-0,788	-3,261	-2,783	0,010	0,060	0,044940682
PRKDC__RPS6KA2	-3,525	-0,478	-4,974	-0,486	-0,668	-3,259	-3,805	-0,017	-0,079	0,014690553
AKT2__CDK12	-3,476	-5,192	-9,198	-0,694	-0,729	-3,249	-2,972	-0,101	-0,104	0,038561581
APEX1__BRCA2	-2,369	-3,688	-7,371	-0,701	-0,855	-3,247	-4,176	-0,085	-0,030	0,009151762
CRYBB1__DDR1	-0,615	-0,649	-2,021	-0,381	-0,734	-3,242	-2,203	0,104	0,115	0,079058378
OXT__TSPO	-0,939	-1,526	-3,319	-0,407	-0,591	-3,234	-2,815	-0,038	0,049	0,044034836
CDC25A__MASP2	-3,276	-0,472	-4,542	-0,520	-0,732	-3,233	-2,582	0,177	0,226	0,054325683
MAP3K10__SLC5A5	-1,090	-0,791	-2,237	-0,350	-0,624	-3,229	-4,168	0,076	0,051	0,009163734
CSF3R__PIK3C2B	-2,260	-0,665	-3,267	-0,488	-0,783	-3,227	-1,318	-0,017	0,068	0,175695311
LCK__MAPK12	-2,887	-3,067	-6,142	-0,658	-0,764	-3,222	-5,110	0,049	0,047	0,002076025
P2RY6__SLC16A5	-0,760	-1,334	-2,500	-0,379	-0,702	-3,217	-2,615	-0,020	0,040	0,052127112
PRSS8__SPHK1	-0,778	-1,140	-2,652	-0,486	-0,869	-3,215	-1,460	-0,039	0,025	0,156825464
APEX1__ATM	-2,369	-1,456	-4,570	-0,471	-0,736	-3,212	-4,714	0,095	0,142	0,004074019
ERBB4__NOS2	-0,217	-1,122	-1,543	-0,356	-0,618	-3,199	-1,313	0,109	0,074	0,176244984
EHMT2__NOS2	-0,955	-1,122	-3,449	-0,431	-0,719	-3,191	-3,367	0,148	0,159	0,025521367
NAMPT__TXN	-16,018	-9,806	-25,417	-2,484	-0,954	-3,168	-1,790	0,085	0,117	0,114594454
ITGA6__MAPK12	-0,877	-3,067	-4,138	-0,489	-0,688	-3,159	-2,686	-0,055	-0,048	0,049069493
EPHB4__PRKDC	-0,079	-3,525	-4,316	-0,364	-0,582	-3,159	-1,775	-0,033	0,007	0,115646028
DMPK__MAP2K7	-1,362	-0,638	-2,691	-0,321	-0,616	-3,158	-4,951	0,061	0,054	0,00272312
PPP1CC__TYK2	-1,344	-1,079	-2,891	-0,467	-0,789	-3,151	-3,084	0,016	-0,019	0,033871322
BIRC5__PNMT	-9,867	-0,507	-11,013	-1,100	-1,019	-3,143	-2,255	-0,095	-0,059	0,075998693
POMC__PTK6	-0,616	-0,728	-1,522	-0,467	-0,883	-3,141	-1,673	0,066	0,104	0,127102885
CAMK2G__MAP3K4	-1,296	-1,918	-3,150	-0,373	-0,627	-3,136	-2,205	0,033	0,034	0,078815568
CKM__EPHA2	-1,322	-0,696	-2,693	-0,433	-0,719	-3,129	-2,687	0,139	0,149	0,048977483
GALK1__LCK	-1,781	-2,887	-4,573	-0,512	-0,864	-3,122	-2,181	-0,022	0,020	0,081174344
CHD1__PIK3CG	-1,547	-1,010	-3,023	-0,435	-0,717	-3,119	-3,200	-0,080	-0,047	0,030143252
BCAT2__POMC	-1,032	-0,616	-2,190	-0,500	-0,873	-3,107	-3,528	0,125	0,162	0,021793386
MAP2K7__PTGIR	-0,638	0,065	-1,120	-0,338	-0,649	-3,105	-4,465	0,092	0,098	0,005905245
GPI__NDUFA4	-3,285	-5,357	-10,140	-1,549	-1,628	-3,104	-1,423	0,063	0,075	0,161340131
P2RY6__TOP1	-0,760	-10,290	-9,737	-0,829	-0,822	-3,103	-2,308	0,027	0,071	0,072688139
ERBB2__PIK3C2B	-1,344	-0,665	-2,474	-0,456	-0,801	-3,100	-2,426	0,033	0,026	0,063964703
TK1__TYK2	-1,890	-1,079	-3,075	-0,415	-0,672	-3,096	-2,789	0,234	0,167	0,044917008
CAMK2G__PIK3CG	-1,296	-1,010	-2,658	-0,430	-0,724	-3,093	-2,045	-0,061	-0,053	0,090504568
ALAD__NDUFA4	-4,894	-5,357	-11,460	-1,558	-1,342	-3,093	-2,340	0,109	0,079	0,069706929
PRKAA1__RPS6KA2	-0,215	-0,478	-0,873	-0,288	-0,572	-3,091	-3,571	0,163	0,124	0,02062394
GALK1__LTC4S	-1,781	-1,265	-3,517	-0,514	-0,890	-3,089	-2,622	0,104	0,142	0,051646618
BCL2L1__CDK2	-5,370	-4,432	-11,724	-1,302	-1,354	-3,087	-3,246	-0,005	-0,042	0,028913765
CD22__STMN1	-0,503	-3,308	-4,461	-0,421	-0,668	-3,086	-2,842	-0,006	-0,005	0,042881807
P2RY6__PIK3CD	-0,760	-1,372	-3,010	-0,616	-0,978	-3,083	-2,146	0,086	0,140	0,084166908
MAP2K5__PPP1CC	-0,580	-1,344	-2,438	-0,538	-0,883	-3,078	-2,873	-0,028	-0,053	0,041839792
CDK12__CDK5	-5,192	-0,143	-5,527	-0,461	-0,686	-3,074	-2,466	-0,027	-0,046	0,06135552
CIT__PIK3CG	-4,565	-1,010	-5,656	-0,537	-0,665	-3,073	-5,207	0,021	-0,006	0,001748494
PIK3C2B__SLC16A8	-0,665	-1,458	-2,810	-0,547	-0,939	-3,066	-2,617	0,190	0,219	0,052018901
HMGA1__OXT	-5,600	-0,939	-7,266	-0,439	-0,558	-3,062	-3,288	0,233	0,288	0,027720609
DOT1L__MST1R	-5,960	-0,732	-7,604	-0,406	-0,542	-3,062	-3,936	0,013	-0,059	0,012563083
BRCA2__SPHK2	-3,688	-0,950	-5,550	-0,645	-0,833	-3,057	-3,333	-0,021	0,002	0,026438004
NT5M__PIK3CD	-0,676	-1,372	-2,775	-0,533	-0,930	-3,057	-3,315	0,123	0,090	0,027040694
NR5A1__P2RY6	-0,415	-0,760	-1,651	-0,367	-0,661	-3,055	-2,988	0,126	0,129	0,037568281
MAPKAPK2__PTP4A3	-0,789	-0,976	-2,001	-0,310	-0,569	-3,054	-3,677	0,061	0,021	0,017841552
BRD2__CDK5	-2,558	-0,143	-3,099	-0,388	-0,643	-3,054	-3,164	0,123	0,062	0,031308087
CSF3R__GALK1	-2,260	-1,781	-4,180	-0,509	-0,754	-3,051	-1,749	0,004	0,048	0,118001298
GCK__TK1	0,031	-1,890	-1,966	-0,464	-0,815	-3,050	-2,251	0,202	0,078	0,076204678
BIRC5__CAMK2G	-9,867	-1,296	-10,833	-0,873	-0,852	-3,044	-1,776	-0,017	-0,049	0,115500944
PFKFB1__PRKAA1	-0,008	-0,215	-0,720	-0,338	-0,628	-3,044	-3,471	0,018	-0,069	0,022763987
CRYBB1__LIG1	-0,615	-2,514	-3,606	-0,461	-0,725	-3,037	-3,294	-0,019	-0,013	0,02752168
CKM__MAP2K7	-1,322	-0,638	-2,730	-0,388	-0,623	-3,033	-4,140	0,011	0,016	0,009515672
ALAD__HMGCR	-4,894	-4,338	-8,841	-0,656	-0,778	-3,033	-3,140	-0,114	-0,121	0,031890741
CAMK1D__PIK3CD	0,124	-1,372	-2,189	-0,620	-1,129	-3,032	-2,779	-0,039	-0,005	0,045138495
CDK2__ERBB4	-4,432	-0,217	-5,395	-0,997	-1,487	-3,032	-1,463	-0,106	-0,128	0,156336251
CSK__TK1	-1,758	-1,890	-4,145	-0,489	-0,737	-3,028	-2,539	0,268	0,172	0,057064292
TOP1__TST	-10,290	-0,442	-11,595	-0,835	-0,867	-3,026	-2,389	0,074	0,031	0,066628839
PRKAR1A__RPS6KA2	-0,754	-0,478	-1,460	-0,331	-0,638	-3,025	-2,598	-0,108	-0,119	0,053242019
MCAT__PARP1	-12,434	-3,299	-16,805	-1,386	-0,782	-3,024	-2,431	-0,118	-0,161	0,063575419
PLA2G2E__TST	-0,827	-0,442	-1,841	-0,403	-0,805	-3,017	-3,551	0,091	0,071	0,020876314
PRKAR1A__TK1	-0,754	-1,890	-3,264	-0,420	-0,707	-3,012	-3,324	0,260	0,163	0,026793829
PTK6__TK1	-0,728	-1,890	-2,681	-0,463	-0,791	-3,012	-2,319	0,298	0,288	0,071666642
BCAT2__PRODH	-1,032	-2,250	-3,975	-0,464	-0,713	-3,008	-3,278	-0,003	0,049	0,028013344
GPX1__PRKCZ	-1,005	-1,211	-3,261	-0,477	-0,848	-3,004	-3,276	0,052	0,077	0,027926418
AXL__FN3K	-0,979	-0,827	-1,886	-0,294	-0,586	-3,003	-3,593	0,137	0,169	0,020379897
CDKN1A__RPS6KA2	-1,754	-0,478	-2,696	-0,319	-0,570	-3,003	-4,343	-0,032	-0,092	0,007216823
CD22__TYK2	-0,503	-1,079	-2,052	-0,365	-0,589	-2,998	-4,173	-0,003	0,032	0,009132977
HMGA1__TYK2	-5,600	-1,079	-7,224	-0,424	-0,573	-2,994	-4,780	0,131	0,016	0,003746567
ERBB2__UCK2	-1,344	-0,763	-2,274	-0,382	-0,651	-2,991	-1,586	0,079	0,106	0,138924625
ACY1__GMPS	-1,630	-9,083	-12,780	-0,662	-0,659	-2,990	-2,908	-0,012	0,013	0,04050489
HMGCR__PRKAA1	-4,338	-0,215	-4,397	-0,420	-0,622	-2,990	-2,790	0,021	0,034	0,044908646
CDK2__LTB4R	-4,432	-1,324	-6,538	-0,848	-1,168	-2,989	-2,721	0,060	0,007	0,047857734
CIT__GPI	-4,565	-3,285	-9,436	-0,544	-0,779	-2,987	-2,771	0,009	-0,001	0,045103302
FABP4__MST1R	0,022	-0,732	-0,868	-0,314	-0,608	-2,980	-3,058	0,154	0,184	0,034855915
DBH__SSTR5	-1,058	-1,555	-3,906	-0,400	-0,558	-2,975	-4,466	-0,070	-0,023	0,005966728
GPI__INPP1	-3,285	-0,451	-4,333	-0,521	-0,874	-2,973	-1,966	0,049	0,045	0,097058138
HMGCR__HMGCR	-4,338	-4,338	-8,118	-1,082	-1,191	-2,971	-1,267	NA	NA	0,182872962
ALAD__NAGK	-4,894	-0,739	-5,960	-0,433	-0,584	-2,970	-2,650	-0,087	-0,046	0,050315053
PNMT__SSTR5	-0,507	-1,555	-2,787	-0,385	-0,677	-2,968	-2,147	0,062	0,057	0,084023235
PTPRJ__RPS6KA4	-1,014	-1,116	-2,764	-0,454	-0,754	-2,965	-2,664	-0,016	-0,016	0,049647548
EPHB2__OXT	-0,976	-0,939	-2,395	-0,309	-0,568	-2,963	-3,297	0,124	0,190	0,027461162
MAPK8IP1__MASP2	-0,095	-0,472	-2,194	-0,403	-0,737	-2,959	-2,120	-0,016	-0,015	0,085181953
GPI__MAP2K2	-3,285	-0,367	-4,220	-0,443	-0,720	-2,957	-4,145	0,050	0,010	0,009577908
NOS2__PIM1	-1,122	-3,019	-4,915	-0,369	-0,551	-2,956	-3,139	0,031	-0,008	0,031912203
CDK12__NT5M	-5,192	-0,676	-6,161	-0,464	-0,585	-2,954	-2,450	0,229	0,242	0,062550802
PIK3CG__PTP4A3	-1,010	-0,976	-2,670	-0,357	-0,662	-2,948	-3,514	0,166	0,137	0,021817351
DDR1__MAP2K5	-0,649	-0,580	-1,370	-0,323	-0,606	-2,942	-2,005	0,057	0,067	0,093689361
MAPKAPK2__PLA2G2E	-0,789	-0,827	-2,070	-0,378	-0,658	-2,941	-2,669	0,012	0,051	0,049556397
PRODH__STMN1	-2,250	-3,308	-6,166	-0,407	-0,681	-2,940	-2,627	-0,094	-0,054	0,051397691
CD22__JAK3	-0,503	-0,991	-2,140	-0,464	-0,824	-2,938	-3,221	-0,003	0,006	0,029518541
CDC25A__CDKN1A	-3,276	-1,754	-5,970	-0,501	-0,705	-2,934	-2,796	0,011	0,016	0,044699774
MAP4K1__SPHK1	-0,584	-1,140	-2,493	-0,350	-0,741	-2,934	-2,993	0,020	0,016	0,037635459
JAK3__NAMPT	-0,991	-16,018	-18,514	-1,670	-0,658	-2,934	-2,886	-0,074	-0,112	0,041232641
NAMPT__RPS6KA2	-16,018	-0,478	-16,903	-1,224	-0,589	-2,934	-2,342	-0,020	-0,043	0,06985053
CYP4F12__KCNQ4	-2,447	-1,655	-3,884	-0,339	-0,533	-2,933	-3,385	0,072	0,085	0,024948281
BIRC5__PRKCA	-9,867	-0,440	-9,962	-0,900	-1,040	-2,930	-2,178	0,067	0,060	0,081452837
SLC16A5__SLC5A5	-1,334	-0,791	-2,168	-0,386	-0,621	-2,929	-2,135	-0,002	0,050	0,084214333
AGPAT1__INPP1	-2,019	-0,451	-3,024	-0,643	-0,969	-2,928	-2,468	0,134	0,108	0,061345687
KCNQ4__NT5M	-1,655	-0,676	-2,625	-0,326	-0,553	-2,926	-2,978	0,105	0,088	0,038173862
ERBB4__NR5A1	-0,217	-0,415	-1,126	-0,328	-0,699	-2,918	-2,530	0,045	0,055	0,05732626
CAMK2G__GPX1	-1,296	-1,005	-2,761	-0,447	-0,796	-2,918	-3,466	0,113	0,148	0,022976201
CAMK2G__MAPKAPK2	-1,296	-0,789	-2,614	-0,371	-0,629	-2,917	-4,219	0,124	0,080	0,008644262
BCAT2__PTK6	-1,032	-0,728	-2,278	-0,357	-0,633	-2,911	-3,558	0,050	0,113	0,020740697
AOC1__CDK2	-0,898	-4,432	-5,951	-0,761	-0,990	-2,909	-1,339	-0,023	0,032	0,172870247
DMPK__PIK3CD	-1,362	-1,372	-3,561	-0,622	-0,980	-2,907	-2,550	0,075	0,093	0,056377966
CDC25A__SLC16A8	-3,276	-1,458	-5,841	-0,542	-0,762	-2,899	-3,090	0,131	0,174	0,03370516
CRYBB1__PLA2G4C	-0,615	-0,026	-1,278	-0,425	-0,707	-2,893	-3,838	0,024	-0,023	0,014286096
CSK__MAP2K2	-1,758	-0,367	-2,808	-0,320	-0,591	-2,891	-2,929	0,158	0,164	0,040544171
BCAT2__PRKDC	-1,032	-3,525	-5,466	-0,556	-0,709	-2,891	-3,564	0,147	0,149	0,020650404
CYP11B2__HMGA1	-0,595	-5,600	-6,696	-0,373	-0,544	-2,891	-2,938	0,085	0,078	0,040104819
BCAT2__CSK	-1,032	-1,758	-3,351	-0,400	-0,666	-2,889	-3,226	0,146	0,133	0,029237904
AGPAT1__TSPO	-2,019	-1,526	-3,931	-0,348	-0,630	-2,885	-3,507	0,008	0,005	0,021876771
FABP4__PTGIR	0,022	0,065	-0,054	-0,292	-0,541	-2,881	-3,258	0,146	0,186	0,028593475
BIRC5__MAP3K3	-9,867	-1,218	-11,630	-0,932	-0,819	-2,875	-3,121	-0,016	-0,029	0,032824885
DMPK__NPEPPS	-1,362	-1,323	-3,170	-0,354	-0,564	-2,872	-2,724	0,069	0,057	0,04762254
BCL2L2__BIRC5	-1,926	-9,867	-12,227	-0,898	-0,774	-2,869	-2,457	0,023	0,006	0,061900359
EPHA2__PIK3C2B	-0,696	-0,665	-1,767	-0,379	-0,692	-2,868	-2,399	0,231	0,213	0,065709826
CAMK2G__ERBB2	-1,296	-1,344	-3,024	-0,374	-0,656	-2,867	-3,581	0,000	0,055	0,020647771
GPX1__SLC16A5	-1,005	-1,334	-2,897	-0,420	-0,734	-2,865	-2,470	0,046	0,036	0,061444274
GCK__KSR1	0,031	-0,783	-1,188	-0,361	-0,674	-2,854	-2,457	0,084	0,062	0,06187578
HMGA1__PRKDC	-5,600	-3,525	-9,883	-0,510	-0,527	-2,851	-5,326	0,141	0,085	0,001403018
CDC25A__PIM1	-3,276	-3,019	-7,104	-0,515	-0,715	-2,845	-3,419	-0,040	-0,023	0,023982561
ITGB7__OXT	-1,477	-0,939	-2,896	-0,311	-0,549	-2,840	-3,426	0,156	0,148	0,023936999
AOC3__SLC16A8	-1,567	-1,458	-3,594	-0,381	-0,638	-2,834	-3,285	0,136	0,136	0,027749267
BIRC5__CD22	-9,867	-0,503	-11,108	-1,080	-1,075	-2,832	-2,703	0,030	0,084	0,048561701
NOS2__NT5M	-1,122	-0,676	-2,466	-0,314	-0,553	-2,830	-4,601	-0,056	-0,038	0,004787616
FGFR3__STMN1	-0,912	-3,308	-5,071	-0,378	-0,509	-2,829	-2,054	0,030	0,081	0,090172336
NPEPPS__PTP4A3	-1,323	-0,976	-2,479	-0,307	-0,525	-2,829	-3,184	0,077	0,123	0,030598366
CNTFR__RPS6KA4	-2,203	-1,116	-3,945	-0,534	-0,862	-2,825	-3,355	0,060	0,091	0,025736926
CDC25A__PRKCD	-3,276	0,177	-4,048	-0,410	-0,635	-2,823	-3,789	-0,068	-0,022	0,014912262
CDC25B__PFKFB4	-1,748	-0,585	-2,839	-0,387	-0,677	-2,823	-2,899	0,047	-0,001	0,040749734
ERBB2__TK1	-1,344	-1,890	-3,783	-0,432	-0,682	-2,822	-3,089	0,220	0,187	0,033705839
