Symbol	Gene_ID	Rank	RSA.p-value	FDR
CA12	771	97	0.003526133	0.242982801
GPR139	124274	98	0.003527191	0.242982801
MTL5	9633	99	0.003572799	0.242982801
RFPL1	5988	100	0.003586255	0.242982801
PFTK2	65061	101	0.003606654	0.242982801
GPR172B	55065	102	0.003624211	0.242982801
TCF7	6932	103	0.003646158	0.242982801
MAP3K3	4215	104	0.003775005	0.245899135
IRF4	3662	105	0.003783388	0.245899135
RXFP3	51289	106	0.003888265	0.245899135
ACPT	93650	107	0.003925783	0.245899135
GPR116	221395	108	0.003936198	0.245899135
FURIN	5045	109	0.004005283	0.245899135
HSP90AB1	3326	110	0.004076543	0.245899135
IL28RA	163702	111	0.004131586	0.245899135
UBC	7316	112	0.0041383	0.245899135
TMPRSS13	84000	113	0.004148234	0.245899135
ADAM2	2515	114	0.004163595	0.245899135
CACNB2	783	115	0.00419603	0.245899135
OR1J4	26219	116	0.004201205	0.245899135
COL3A1	1281	117	0.004224627	0.245899135
DHRS11	79154	118	0.004227287	0.245899135
ASB6	140459	119	0.004283967	0.247102097
AURKAIP1	54998	120	0.004378013	0.249991456
OR7A17	26333	121	0.004412877	0.249991456
CDC23	8697	122	0.004463391	0.249991456
CPN1	1369	123	0.004484911	0.249991456
CDK7	1022	124	0.004528722	0.249991456
PRKACA	5566	125	0.004561394	0.249991456
CSE1L	1434	126	0.004612546	0.249991456
CLK3	1198	127	0.004679414	0.249991456
GRN	2896	128	0.004697702	0.249991456
C13orf1	57213	129	0.004698266	0.249991456
DPP9	91039	130	0.004760991	0.251380325
CHRM5	1133	131	0.004933204	0.256614072
BBS2	583	132	0.004934886	0.256614072
XPNPEP3	63929	133	0.004995114	0.257704164
NME4	4833	134	0.005032912	0.257704164
JMJD6	23210	135	0.005131387	0.257704164
TLR3	7098	136	0.005179655	0.257704164
HNRNPA2B1	3181	137	0.00520609	0.257704164
PTPN23	25930	138	0.005236804	0.257704164
TP53I3	9540	139	0.00525019	0.257704164
NAPSB	256236	140	0.005282011	0.257704164
CYP20A1	57404	141	0.005321333	0.257704164
BTNL8	79908	142	0.005432617	0.257704164
EDNRA	1909	143	0.005468826	0.257704164
NCOA3	8202	144	0.005472504	0.257704164
GP9	2815	145	0.005483955	0.257704164
TCEB1	6921	146	0.005495121	0.257704164
LOC100132635	100132635	147	0.005519014	0.257704164
ADORA2B	136	148	0.005647347	0.259914114
TRAF4	9618	149	0.00566544	0.259914114
CD68	968	150	0.005733779	0.259914114
PDIA6	10130	151	0.005798365	0.259914114
SPTAN1	6709	152	0.00583364	0.259914114
NUP153	9972	153	0.005859454	0.259914114
SLC35C2	51006	154	0.005912507	0.259914114
HMG20B	10362	155	0.005921695	0.259914114
LLGL1	3996	156	0.005989412	0.259914114
AFF2	2334	157	0.006034872	0.259914114
VPS41	27072	158	0.006090999	0.259914114
SULF1	23213	159	0.006117483	0.259914114
TDP1	55775	160	0.006185393	0.259914114
PRKCZ	5590	161	0.006205859	0.259914114
CTSG	1511	162	0.006212549	0.259914114
HHEX	3087	163	0.00632371	0.259914114
PPIL2	23759	164	0.006356421	0.259914114
OCA2	4948	165	0.006363199	0.259914114
MARCKS	4082	166	0.006380588	0.259914114
MMP12	4321	167	0.006395222	0.259914114
AGXT	189	168	0.006486384	0.259914114
PJA1	64219	169	0.006540062	0.259914114
SRPK1	6732	170	0.006550501	0.259914114
KCNH1	3756	171	0.006615374	0.259914114
PLP1	5354	172	0.00663798	0.259914114
INPP5D	3635	173	0.006639153	0.259914114
CHM	1121	174	0.006656049	0.259914114
LYPD1	116372	175	0.00667211	0.259914114
SERPINI1	5274	176	0.006694424	0.259914114
POU2F1	5451	177	0.006732582	0.259914114
VEGFC	7424	178	0.006740197	0.259914114
SGK3	23678	179	0.00683711	0.261811629
C13orf39	196541	180	0.00688397	0.261811629
DDR1	780	181	0.006918094	0.261811629
KIF16B	55614	182	0.006941975	0.261811629
FGF3	2248	183	0.00698641	0.262047641
PROCA1	147011	184	0.00708816	0.264419186
MFNG	4242	185	0.007238561	0.266371942
NR2E3	10002	186	0.007238974	0.266371942
TXNIP	10628	187	0.007267578	0.266371942
MXD1	4084	188	0.007295735	0.266371942
RPS19	6223	189	0.007353466	0.26693536
GRIPAP1	56850	190	0.007388945	0.26693536
PIH1D1	55011	191	0.007539312	0.270056427
NPAS4	266743	192	0.007689662	0.270056427
GEMIN6	79833	193	0.007725938	0.270056427
PGAM2	5224	194	0.007779527	0.270056427
SHPK	23729	195	0.007781253	0.270056427
RBAK	57786	196	0.007810622	0.270056427
MTA2	9219	197	0.007819455	0.270056427
COPS5	10987	198	0.007836865	0.270056427
CRY1	1407	199	0.007840849	0.270056427
UNC5A	90249	200	0.007868777	0.270056427
PDE2A	5138	201	0.007912815	0.270216727
KSR1	8844	202	0.007990311	0.271249986
MDK	4192	203	0.008086739	0.271249986
GAPDHS	26330	204	0.00813988	0.271249986
TUBD1	51174	205	0.00814061	0.271249986
TRH	7200	206	0.008140661	0.271249986
ITPKB	3707	207	0.008284256	0.272213114
MAPRE2	10982	208	0.008290892	0.272213114
MED17	9440	209	0.00831897	0.272213114
ZNRF2	223082	210	0.008368788	0.272213114
CSF3R	1441	211	0.008441156	0.272213114
MSN	4478	212	0.008575335	0.272213114
PRSS22	64063	213	0.008591404	0.272213114
MUSK	4593	214	0.008600092	0.272213114
DNAJC14	85406	215	0.008672321	0.272213114
NFAT5	10725	216	0.008737843	0.272213114
TWIST1	7291	217	0.00881126	0.272213114
KCNK7	10089	218	0.008856284	0.272213114
AMMECR1	9949	219	0.008880579	0.272213114
KLK4	9622	220	0.008886118	0.272213114
CCL14	6358	221	0.008891848	0.272213114
GLDC	2731	222	0.008902941	0.272213114
SCTR	6344	223	0.008973271	0.272213114
RGS9	8787	224	0.009002256	0.272213114
CYP2C9	1559	225	0.009007628	0.272213114
SUFU	51684	226	0.009008593	0.272213114
NTF4	4909	227	0.009026292	0.272213114
TAAR2	9287	228	0.009042044	0.272213114
NKX2-1	7080	229	0.009192224	0.273540063
S1PR5	53637	230	0.009253515	0.273540063
KREMEN1	83999	231	0.009263305	0.273540063
HTR1F	3355	232	0.009270381	0.273540063
NFKB1	4790	233	0.009285378	0.273540063
PF4	5196	234	0.009346844	0.274174091
SLC6A11	6538	235	0.009422326	0.274583315
DCUN1D1	54165	236	0.009468141	0.274583315
FAM83D	81610	237	0.009492531	0.274583315
MUC6	4588	238	0.009555456	0.274583315
ACTN1	87	239	0.009585658	0.274583315
NLRP3	114548	240	0.009642659	0.274583315
PHF17	79960	241	0.009645097	0.274583315
CAPN8	388743	242	0.009680822	0.274583315
PPARG	5468	243	0.009790556	0.274642788
TSPO	706	244	0.00979152	0.274642788
GSTM1	2944	245	0.009802955	0.274642788
PTN	5764	246	0.009889805	0.275192817
NP	4860	247	0.009907009	0.275192817
RASD1	51655	248	0.009942864	0.275192817
ABL2	27	249	0.010050232	0.277047359
PPP1CC	5501	250	0.010243001	0.277556267
SMARCA4	6597	251	0.010248474	0.277556267
DERA	51071	252	0.010272849	0.277556267
OPN1SW	611	253	0.010286415	0.277556267
RNF115	27246	254	0.010375699	0.277556267
CAMK1G	57172	255	0.010393043	0.277556267
PCSK6	5046	256	0.010415083	0.277556267
TAC3	6866	257	0.010468958	0.277556267
MORN1	79906	258	0.010499145	0.277556267
PNLIPRP1	5407	259	0.010543069	0.277556267
AKR1C1	1645	260	0.010554453	0.277556267
TXNDC6	347736	261	0.010558465	0.277556267
MRGPRX4	117196	262	0.010594368	0.277556267
LONRF1	91694	263	0.010815113	0.282262113
TRAP1	10131	264	0.010876826	0.282364652
MBD4	8930	265	0.010942364	0.282364652
GPR34	2857	266	0.010942453	0.282364652
PRKAR2B	5577	267	0.011019395	0.282440184
GPHB5	122876	268	0.011065754	0.282440184
KCNAB2	8514	269	0.011185494	0.282440184
TFF1	7031	270	0.011225839	0.282440184
TUBB2A	7280	271	0.011226557	0.282440184
PPP1R3A	5506	272	0.011268854	0.282440184
NTSR1	4923	273	0.011278801	0.282440184
NLRC3	197358	274	0.011292942	0.282440184
C12orf47	51275	275	0.011341734	0.282440184
PAN3	255967	276	0.011431339	0.282440184
BUB1B	701	277	0.011442865	0.282440184
CCL3	6348	278	0.011461595	0.282440184
RNF103	7844	279	0.011553482	0.282440184
BCL7A	605	280	0.011592771	0.282440184
CHRNA4	1137	281	0.011641536	0.282440184
TMX2	51075	282	0.011648598	0.282440184
CNGB3	54714	283	0.011664029	0.282440184
TCF12	6938	284	0.011741052	0.282440184
PRCC	5546	285	0.011742661	0.282440184
IL27RA	9466	286	0.011768341	0.282440184
CFL2	1073	287	0.011811326	0.282484117
CXCR3	2833	288	0.011921696	0.283487745
FKSG2	59347	289	0.012035024	0.283487745
ALDH3B1	221	290	0.012042388	0.283487745
PRTN3	5657	291	0.012077112	0.283487745
ERAS	3266	292	0.012095465	0.283487745
IL1RN	3557	293	0.012101094	0.283487745
GPR124	25960	294	0.012192226	0.283681828
CDC14C	168448	295	0.012262096	0.283681828
HK1	3098	296	0.012267458	0.283681828
GBE1	2632	297	0.012394542	0.283681828
GBA	2629	298	0.012403849	0.283681828
CD276	80381	299	0.012425642	0.283681828
CCDC113	29070	300	0.012431586	0.283681828
RPS6KA6	27330	301	0.012491851	0.283681828
FASN	2194	302	0.012545822	0.283681828
MCL1	4170	303	0.012571451	0.283681828
DSTYK	25778	304	0.012582587	0.283681828
FOLR1	2348	305	0.012605326	0.283681828
MRGPRX3	117195	306	0.012702312	0.284174432
SLC6A6	6533	307	0.012842813	0.284174432
SLC6A15	55117	308	0.012862634	0.284174432
ADRBK2	157	309	0.012941161	0.284174432
NPVF	64111	310	0.012973362	0.284174432
METTL8	79828	311	0.012995504	0.284174432
CAPN10	11132	312	0.013022427	0.284174432
RFPL2	10739	313	0.013025186	0.284174432
SERPINH1	871	314	0.013090897	0.284174432
ITGA6	3655	315	0.013181057	0.284174432
XRCC3	7517	316	0.01318389	0.284174432
LOC136242	136242	317	0.013217958	0.284174432
EPHA8	2046	318	0.013230653	0.284174432
FBXL20	84961	319	0.013240616	0.284174432
MAGT1	84061	320	0.0132883	0.284174432
CD34	947	321	0.013308276	0.284174432
FPR3	2359	322	0.013390317	0.284174432
NEDD8	4738	323	0.013440706	0.284174432
ENDOG	2021	324	0.013468584	0.284174432
SFRP4	6424	325	0.013476043	0.284174432
KIFC3	3801	326	0.013540002	0.284174432
SERPINB4	6318	327	0.013546812	0.284174432
GP1BB	2812	328	0.013659778	0.284174432
KCNH7	90134	329	0.013666942	0.284174432
HGD	3081	330	0.01368967	0.284174432
RPSAP58	388524	331	0.013703633	0.284174432
PTPN21	11099	332	0.013988954	0.287084474
PECAM1	5175	333	0.014088796	0.287084474
TAS2R43	259289	334	0.014118707	0.287084474
GPR137B	7107	335	0.014138571	0.287084474
OPCML	4978	336	0.014226551	0.287084474
CHRNA2	1135	337	0.014242185	0.287084474
GPRASP1	9737	338	0.014277877	0.287084474
CYB5R3	1727	339	0.014345463	0.287084474
CDC73	79577	340	0.014425696	0.287084474
SCN7A	6332	341	0.014583698	0.287084474
PRKAB2	5565	342	0.014640895	0.287084474
TFDP1	7027	343	0.014645045	0.287084474
TLR8	51311	344	0.01466902	0.287084474
PPEF1	5475	345	0.014720121	0.287084474
CSNK1D	1453	346	0.014736867	0.287084474
CACNG5	27091	347	0.014762026	0.287084474
ARSE	415	348	0.014826342	0.287084474
OXER1	165140	349	0.014867027	0.287084474
IMMP2L	83943	350	0.014894802	0.287084474
ZDHHC17	23390	351	0.014897658	0.287084474
LINGO4	339398	352	0.014961726	0.287084474
WDSUB1	151525	353	0.014987619	0.287084474
PRSS3	5646	354	0.0150285	0.287084474
CKS1B	1163	355	0.015035913	0.287084474
HDAC9	9734	356	0.015042317	0.287084474
MAFF	23764	357	0.015119914	0.287084474
MIPEP	4285	358	0.01512712	0.287084474
RB1CC1	9821	359	0.015130628	0.287084474
ACVR2B	93	360	0.015169807	0.287084474
CUBN	8029	361	0.015185411	0.287084474
BBC3	27113	362	0.015209063	0.287084474
EWSR1	2130	363	0.015226602	0.287084474
COPB2	9276	364	0.015232172	0.287084474
INF2	64423	365	0.015299065	0.287084474
SMUG1	23583	366	0.015307826	0.287084474
GJB3	2707	367	0.015420505	0.287445409
SH3KBP1	30011	368	0.015472717	0.287445409
SBK1	388228	369	0.015484355	0.287445409
MAD2L1BP	9587	370	0.015585801	0.287445409
BTC	685	371	0.015633801	0.287445409
ADFP	123	372	0.01564545	0.287445409
MASP2	10747	373	0.015687126	0.287445409
HCK	3055	374	0.015739784	0.287445409
GNPAT	8443	375	0.015762583	0.287445409
TCF19	6941	376	0.015808228	0.287445409
SS18	6760	377	0.015861085	0.287445409
PEX13	5194	378	0.015927091	0.287445409
PLK5P	126520	379	0.015932643	0.287445409
BAZ2B	29994	380	0.015997143	0.287445409
NEU1	4758	381	0.016082038	0.287445409
CLEC4F	165530	382	0.016085291	0.287445409
SOCS5	9655	383	0.016112628	0.287445409
NUDT4	11163	384	0.016126309	0.287445409
TCN2	6948	385	0.016194848	0.287445409
MIDN	90007	386	0.016222324	0.287445409
RAC2	5880	387	0.016231417	0.287445409
CYP4F11	57834	388	0.016248371	0.287445409
MMP24	10893	389	0.016307094	0.287742656
ORM1	5004	390	0.016380778	0.28802554
ERBB4	2066	391	0.016439042	0.28802554
NPEPPS	9520	392	0.016449011	0.28802554
BTNL3	10917	393	0.016631679	0.290232685
GFRA1	2674	394	0.01667945	0.290232685
ABCA3	21	395	0.016736975	0.290232685
MTTP	4547	396	0.016807451	0.290232685
CSF2RA	1438	397	0.016828636	0.290232685
EPHB1	2047	398	0.01682876	0.290232685
ZMYND19	116225	399	0.016915024	0.290248936
DIO1	1733	400	0.016919623	0.290248936
DOK2	9046	401	0.016978053	0.290248936
HES4	57801	402	0.016998845	0.290248936
CLCA2	9635	403	0.017114559	0.290995032
PACSIN1	29993	404	0.01712733	0.290995032
STARD9	57519	405	0.01719187	0.29137036
MXD4	10608	406	0.017286042	0.291995992
SFRP1	6422	407	0.017424793	0.291995992
EI24	9538	408	0.017724265	0.291995992
UBXN1	51035	409	0.017808168	0.291995992
NPBWR2	2832	410	0.01781766	0.291995992
TP53AIP1	63970	411	0.017819085	0.291995992
DIDO1	11083	412	0.017873456	0.291995992
SSR3	6747	413	0.017950772	0.291995992
EPX	8288	414	0.018022631	0.291995992
KCNC2	3747	415	0.018026128	0.291995992
ST14	6768	416	0.01803586	0.291995992
MAPK15	225689	417	0.018129464	0.291995992
DTX4	23220	418	0.018175578	0.291995992
MS4A6A	64231	419	0.018230459	0.291995992
SH2D1A	4068	420	0.018320928	0.291995992
C15orf17	57184	421	0.018371367	0.291995992
YY1	7528	422	0.01846038	0.291995992
VLDLR	7436	423	0.018470052	0.291995992
SLC6A7	6534	424	0.018523139	0.291995992
RAB37	326624	425	0.018619158	0.291995992
CA5BP	340591	426	0.018700395	0.291995992
PKMYT1	9088	427	0.018768247	0.291995992
SELL	6402	428	0.018819968	0.291995992
PDCD6IP	10015	429	0.018833151	0.291995992
PSMA2	5683	430	0.01891732	0.291995992
CSAD	51380	431	0.01893441	0.291995992
SUMO2	6613	432	0.018955948	0.291995992
ARHGEF10	9639	433	0.018965303	0.291995992
ALPI	248	434	0.018991228	0.291995992
ALPPL2	251	435	0.019058235	0.291995992
RP11-265F14.2	51032	436	0.019066375	0.291995992
DAD1	1603	437	0.019092388	0.291995992
MSH6	2956	438	0.019132693	0.291995992
CD1A	909	439	0.019198206	0.291995992
GHSR	2693	440	0.019211947	0.291995992
PHRF1	57661	441	0.01923723	0.291995992
PDIA5	10954	442	0.019258732	0.291995992
CLDN14	23562	443	0.019352516	0.291995992
TREML1	340205	444	0.019354661	0.291995992
ATP9A	10079	445	0.019379737	0.291995992
PHF12	57649	446	0.019409646	0.291995992
METTL10	399818	447	0.019417511	0.291995992
UHMK1	127933	448	0.019425378	0.291995992
LRDD	55367	449	0.019456869	0.291995992
PPP2CA	5515	450	0.01946464	0.291995992
CLEC1B	51266	451	0.019481935	0.291995992
SMC1A	8243	452	0.01948845	0.291995992
DHRS13	147015	453	0.019505524	0.291995992
USP24	23358	454	0.019515564	0.291995992
TBX5	6910	455	0.019646623	0.291995992
SERPINB6	5269	456	0.019662427	0.291995992
NEDD4	4734	457	0.01969488	0.291995992
IL1R1	3554	458	0.019712037	0.291995992
NHEDC2	133308	459	0.01978187	0.291995992
MAP3K12	7786	460	0.019811397	0.291995992
CXCR6	10663	461	0.019821781	0.291995992
ALCAM	214	462	0.020015622	0.291995992
SCUBE1	80274	463	0.020071538	0.291995992
ATP6V1B1	525	464	0.020208006	0.291995992
STK4	6789	465	0.020245679	0.291995992
ID3	3399	466	0.02024856	0.291995992
F9	2158	467	0.020281047	0.291995992
FBXO28	23219	468	0.020330139	0.291995992
KLK15	55554	469	0.020386841	0.291995992
TNFRSF10B	8795	470	0.02039506	0.291995992
KCND2	3751	471	0.02040711	0.291995992
SLC12A1	6557	472	0.020411386	0.291995992
CD27	939	473	0.020451701	0.291995992
ETFA	2108	474	0.020467786	0.291995992
LPPR2	64748	475	0.020555995	0.291995992
PKLR	5313	476	0.020573416	0.291995992
SH3BP4	23677	477	0.020573591	0.291995992
SPINK1	6690	478	0.020575193	0.291995992
WTAP	9589	479	0.020610548	0.291995992
STX5	6811	480	0.02062244	0.291995992
ACBD3	64746	481	0.020697759	0.291995992
PPP4C	5531	482	0.02073172	0.291995992
TSSK4	283629	483	0.020783642	0.291995992
BIRC3	330	484	0.020836477	0.291995992
REEP2	51308	485	0.020842908	0.291995992
SCARA5	286133	486	0.020853716	0.291995992
HTR2B	3357	487	0.020941235	0.291995992
CACNA1I	8911	488	0.020990815	0.291995992
OXGR1	27199	489	0.02100255	0.291995992
LYPD3	27076	490	0.021027897	0.291995992
PGRMC1	10857	491	0.021110842	0.291995992
EZH2	2146	492	0.021122756	0.291995992
tAKR	389932	493	0.021147902	0.291995992
CASR	846	494	0.021151368	0.291995992
NELF	26012	495	0.021156289	0.291995992
ITGA1	3672	496	0.021223656	0.291995992
PLK2	10769	497	0.021300169	0.291995992
NR4A2	4929	498	0.02131183	0.291995992
TRMT2B	79979	499	0.021350985	0.291995992
RAD54B	25788	500	0.021391597	0.291995992
GPR89B	51463	501	0.021448953	0.291995992
MED19	219541	502	0.021538785	0.291995992
OR1A1	8383	503	0.021561809	0.291995992
UBE2C	11065	504	0.021573604	0.291995992
PSAP	5660	505	0.021585471	0.291995992
E2F3	1871	506	0.021587346	0.291995992
PTGER4	5734	507	0.021597719	0.291995992
GUSB	2990	508	0.021610426	0.291995992
GRIA2	2891	509	0.021732485	0.293068324
FSD2	123722	510	0.02185256	0.294109749
RAMP2	10266	511	0.021962315	0.294192129
AHCY	191	512	0.021980988	0.294192129
CIDEC	63924	513	0.022043918	0.294192129
RAD51	5888	514	0.022044618	0.294192129
KCNV1	27012	515	0.022185009	0.294192129
KIF3C	3797	516	0.022192617	0.294192129
GPR143	4935	517	0.022238535	0.294192129
TNFSF13B	10673	518	0.022287265	0.294192129
PIK3CD	5293	519	0.022341299	0.294192129
NCOA4	8031	520	0.02237281	0.294192129
NRG2	9542	521	0.022398978	0.294192129
CLEC1A	51267	522	0.022407821	0.294192129
ACAT1	38	523	0.022415863	0.294192129
RALA	5898	524	0.022521889	0.294519495
RAD51C	5889	525	0.022636392	0.294519495
SLC25A40	55972	526	0.022638612	0.294519495
PACSIN2	11252	527	0.022687253	0.294519495
GCNT2	2651	528	0.022699728	0.294519495
ALPK2	115701	529	0.022765144	0.294519495
RYBP	23429	530	0.02283116	0.294519495
DCLK1	9201	531	0.022893394	0.294519495
CD33	945	532	0.022900385	0.294519495
AGXT2L2	85007	533	0.022911338	0.294519495
DUSP11	8446	534	0.022935858	0.294519495
GABBR1	2550	535	0.023045065	0.294519495
GPR4	2828	536	0.02305401	0.294519495
ANGPTL2	23452	537	0.023120534	0.294519495
ALAS2	212	538	0.02312974	0.294519495
SERPINE2	5270	539	0.023131526	0.294519495
ENPP1	5167	540	0.02317024	0.294519495
PPP2R2A	5520	541	0.023234591	0.294791558
MTMR14	64419	542	0.023296516	0.294972264
AK3	50808	543	0.023389576	0.294972264
NIACR1	338442	544	0.023404908	0.294972264
ABCF2	10061	545	0.023420729	0.294972264
RAB7A	7879	546	0.023467243	0.295016769
ALDH2	217	547	0.02355002	0.295516156
DNMT3A	1788	548	0.023660228	0.296048133
PRDX6	9588	549	0.023678675	0.296048133
RUNX1	861	550	0.023823921	0.296199627
LATS1	9113	551	0.023827187	0.296199627
FKSG83	83954	552	0.023833032	0.296199627
TMPRSS3	64699	553	0.023869195	0.296199627
HTR3D	200909	554	0.023906555	0.296199627
NEUROD2	4761	555	0.023989404	0.29647332
GABRA1	2554	556	0.024047589	0.29647332
CD5L	922	557	0.024092745	0.29647332
RTN4IP1	84816	558	0.024101415	0.29647332
RAB20	55647	559	0.024192528	0.297061739
SOST	50964	560	0.024408358	0.297655626
INS	3630	561	0.024421068	0.297655626
P2RY14	9934	562	0.024487438	0.297655626
CARM1	10498	563	0.024548346	0.297655626
OR1G1	8390	564	0.024622354	0.297655626
TPM1	7168	565	0.024633191	0.297655626
PRKAA1	5562	566	0.024657463	0.297655626
RHBDF1	64285	567	0.024671684	0.297655626
PAX8	7849	568	0.024693356	0.297655626
MGAM	8972	569	0.024697634	0.297655626
KCNK4	50801	570	0.024717906	0.297655626
GRIK1	2897	571	0.024817147	0.297871056
RORC	6097	572	0.024904078	0.297871056
MAPK12	6300	573	0.024911617	0.297871056
UCHL1	7345	574	0.024924509	0.297871056
CNOT4	4850	575	0.024981471	0.297871056
GPR32	2854	576	0.025014677	0.297871056
OMP	4975	577	0.025163037	0.297871056
RDH5	5959	578	0.025178387	0.297871056
INADL	10207	579	0.025311381	0.297871056
THRA	7067	580	0.025334898	0.297871056
GNMT	27232	581	0.025419569	0.297871056
PPFIA2	8499	582	0.025450324	0.297871056
NUPR1	26471	583	0.025459707	0.297871056
PLA2G2E	30814	584	0.025473305	0.297871056
MRE11A	4361	585	0.025554004	0.297871056
DTX2	113878	586	0.025688757	0.297871056
SIGLEC7	27036	587	0.025742747	0.297871056
OR56B4	196335	588	0.025769761	0.297871056
INPP5F	22876	589	0.025787959	0.297871056
GPX6	257202	590	0.025891766	0.297871056
BRCC3	79184	591	0.025904584	0.297871056
OR10A4	283297	592	0.025932111	0.297871056
ACADVL	37	593	0.025959213	0.297871056
RORA	6095	594	0.025984416	0.297871056
UBE3C	9690	595	0.026013788	0.297871056
ABCG5	64240	596	0.026033383	0.297871056
EIF2C4	192670	597	0.026080737	0.297871056
IGBP1	3476	598	0.026094917	0.297871056
PIK3R2	5296	599	0.026131803	0.297871056
TTC3	7267	600	0.026180699	0.297871056
LZTS2	84445	601	0.026201084	0.297871056
CHRNA3	1136	602	0.026230936	0.297871056
MOXD1	26002	603	0.02630207	0.297871056
TACR3	6870	604	0.026349309	0.297871056
NR6A1	2649	605	0.026378093	0.297871056
CDK3	1018	606	0.026394577	0.297871056
GLG1	2734	607	0.026447444	0.297871056
CAMLG	819	608	0.026497064	0.297871056
PTPRT	11122	609	0.026497516	0.297871056
EFNA3	1944	610	0.026501582	0.297871056
ADH5	128	611	0.026574589	0.297871056
ALDH8A1	64577	612	0.026645707	0.297871056
NPAS3	64067	613	0.026696242	0.297871056
