Number	gene_id	symbol	difference_in_slope	pvalue	fdr	RB1_defective_median_zGARP	RB1_wild_type_median_zGARP	difference_in_median_zGARP	Penetrance.%	Coverage %	BT549_BREAST	CAL148_BREAST	CAL851_BREAST	DU4475_BREAST	HCC1187_BREAST	HCC1937_BREAST	HCC3153_BREAST	HDQP1_BREAST	MB157_BREAST	MDAMB436_BREAST	MDAMB468_BREAST	SUM149_BREAST	184A1_BREAST	BT20_BREAST	CAL51_BREAST	HCC1143_BREAST	HCC1806_BREAST	HCC2688_BREAST	HCC38_BREAST	HS578T_BREAST	MACLS2_BREAST	MDAMB157_BREAST	MDAMB231_BREAST	MDAMB453_BREAST	SKBR7_BREAST	SUM102_BREAST	SUM1315_BREAST	SUM159_BREAST	SUM52_BREAST	184B5_BREAST	CAL120_BREAST	HBL100_BREAST	HCC1395_BREAST	HCC1599_BREAST	HCC2185_BREAST	HCC70_BREAST	MFM223_BREAST	MX1_BREAST	SKBR5_BREAST	SUM185_BREAST	SUM229_BREAST	SW527_BREAST
6	5435	POLR2F	-0.314561827537652	0.007049839243881	0.429382823500476	-2.3915	-1.83	-0.5615	100	39	-1.771	-6.424	-1.343	-2.292	-1.39	-3.831	-2.372	-3.142	-5.257	-2.411	-1.749	-3.673	-0.627	-0.665	-3.794	-0.932	-3.347	1.174	-1.61	0.86	-3.391	-0.708	-1.919	-5.721	-3.423	-0.586	-0.054	-1.923	-2.918	-1.569	-0.264	-1.772	-0.454	-1.888	-2.255	-1.527	-0.441	-5.107	-3.431	-2.135	-2.089	-2.633
21	6949	TCOF1	-0.424652244337609	0.006649384236913	0.422663793435665	-2.3255	-1.931	-0.3945	92	31	-1.996	-5.382	-2.008	-1.728	-3.931	-1.637	-2.262	-4.751	-2.389	-0.362	-4.131	-4.217	-2.138	-2.511	-1.523	-2.658	-3.05	-1.54	-1.955	-2.189	-2.346	0.232	-1.052	-3.686	-0.224	-1.062	-1.366	-2.006	-0.908	-0.814	-3.661	-1.812	-2.796	-2.475	-1.907	-5.751	-1.862	-3.914	-1.178	-2.378	-1.891	-0.224
76	51412	ACTL6B	-0.275094240794438	0.048418188409094	0.687216805350306	-1.602	-1.184	-0.418	75	35	-1.653	-2.327	-0.602	-1.551	-0.508	-3.356	-1.485	-2.661	-1.35	-0.692	-2.505	-1.728	-1.332	-1.081	0.017	-0.241	0.066	-0.648	-0.187	-0.786	-1.287	-1.346	-1.644	-4.2	-2.015	-0.616	-0.469	-0.613	-2.214	-0.941	-1.934	-1.304	-1.015	-1.588	-6.173	-2.52	-0.081	-3.234	-1.666	-1.868	0.559	-0.643
23	6607	SMN2	-0.246370894598701	0.00722647605645	0.433964147859289	-1.838	-0.9175	-0.9205	92	46	-2.12	-2.105	-0.408	-4.27	-1.887	-1.789	-2.409	-3.101	-1.472	-1.285	-1.709	-1.524	-0.992	-0.759	-3.198	-0.772	-1.125	-0.63	0.028	-2.511	-0.624	-0.854	-0.981	-0.65	-1.665	-0.392	0.71	-0.16	-1.441	0.306	-0.59	0.376	-1.562	-2.208	-5.231	-1.552	-1.615	-1.988	-2.003	0.491	-0.573	-2.243
103	9793	CKAP5	-0.312322858088329	0.027628735123385	0.643919863453366	-1.6205	-0.205	-1.4155	58	41	-2.032	-0.2	-3.844	-1.209	0.498	-3.218	-2.396	-2.759	-4.153	-0.699	0.354	0.284	0.839	-1.493	-0.225	0.611	-3.099	0.096	-0.637	0.496	-4.028	0.474	-1.808	-2.564	-0.712	-1.388	0.354	0.834	-2.902	-0.046	1.021	0.042	-1.962	-1.168	-0.564	-0.719	-3.354	-0.11	1.004	0.695	-0.185	0.227
45	57819	LSM2	-0.194603503958301	0.007486648238129	0.435675559548079	-1.58	-0.7365	-0.8435	83	48	-1.984	-1.211	-1.567	-1.408	-0.213	-2.558	-1.385	-2.675	-1.593	-3.242	-0.85	-2.088	-0.854	-1.226	-0.748	-0.49	-0.473	-0.731	-2.352	-2.324	-0.642	-0.2	-0.263	-1.463	-1.575	-0.04	0.696	-1.391	-1.401	0.628	-0.742	-0.433	-0.29	-1.496	0.372	-0.079	-0.497	-2.275	-1.742	1.334	-0.765	-2.401
104	1163	CKS1B	-0.108187548655258	0.028103250483638	0.645144499346783	-1.107	-0.319	-0.788	58	50	-1.154	0.85	-2.105	-1.732	0.206	-1.56	-1.921	-1.182	-0.982	-0.503	0.512	-1.06	-1.056	-0.305	-1.688	-0.333	-0.474	0.212	-0.018	-1.202	-0.017	-0.907	0.545	0.4	-0.538	0.182	0.376	0.124	-0.161	-0.019	-0.82	-0.181	-1.371	0.368	-0.474	-1.132	-0.686	-2.166	0.174	0.593	-1.865	-0.522
48	11091	WDR5	-0.25195375745816	0.01773366307862	0.560747029604203	-2.6045	-1.563	-1.0415	83	36	-1.395	-1.95	-3.183	-5.872	-0.719	-2.723	-2.664	-5.01	-2.921	0.1	-1.096	-2.545	-1.844	-2.441	-7.791	-0.703	-2.836	-2.292	-0.971	-0.619	-2.908	-3.093	-1.872	-4.405	-3.583	-0.504	0.565	-0.121	-0.35	-0.556	-1.041	-0.111	-0.545	-1.631	-1.255	-4.392	0.411	-1.495	-2.065	-0.453	-2.94	-3.033
57	3329	HSPD1	-0.316355363254174	0.000745862143525	0.1801073667888	-1.6215	-0.8215	-0.8	75	39	-2.817	-0.488	-1.5	-1.263	-0.664	-4.389	-2.278	-3.5	-1.071	-1.743	0.66	-2.593	-1.105	-0.93	-1.563	-0.37	-2.382	-0.265	0.13	-1.546	-2.179	0.038	-0.232	-0.713	-1.367	0.517	0.751	0.807	-1.267	-0.617	0.151	-0.277	-2.086	0.295	0.311	-1.158	-2.663	-4.007	-2.184	0.711	-2.137	-1.079
12	10575	CCT4	-0.215637505584938	0.043811442618963	0.676205744385283	-2.4035	-1.877	-0.5265	100	35	-3.347	-1.96	-1.578	-3.949	-1.711	-3.35	-2.24	-2.801	-2.071	-1.322	-2.951	-2.567	-2.508	-0.522	-5.806	-1.615	-2.283	0.257	-0.584	-4.284	-2.015	-0.364	-2.978	-6.025	-1.39	-0.512	0.141	-1.284	-2.774	-1.099	-1.895	-2.065	-1.859	-0.621	-1.046	-4.121	-3.023	-3.047	-1.024	-3.134	-0.86	-2.729
10	1968	EIF2S3	-0.239049774614589	0.029620815820656	0.645144499346783	-2.125	-1.246	-0.879	100	38	-1.824	-1.917	-1.322	-2.271	-1.428	-3.541	-1.878	-3.433	-3.39	-2.244	-2.006	-3.216	-1.144	-1.812	-3.468	-1.131	-2.022	-0.747	-1.383	-0.779	-2.774	0.573	-3.015	-7.496	-1.302	-0.118	1.17	-1.1	-0.226	-0.303	-1.674	-0.494	-2.118	-2.015	-1.19	-1.145	0.903	-5.391	-2.118	1.524	-1.447	-2.755
2	4927	NUP88	-0.20184164729018	0.00161895124295	0.261448766662976	-3.0065	-1.8605	-1.146	100	31	-1.953	-1.496	-1.587	-3.599	-2.356	-1.562	-3.749	-5.876	-3.187	-2.835	-3.178	-3.859	-0.676	-1.169	-2.068	-1.27	-2.73	-1.159	-1.704	-3.471	-1.985	-4.667	-1.15	-5.356	-1.113	-0.553	-0.705	-1.736	-2.334	-1.196	-1.11	-1.303	-1.005	-3.328	-2.023	-2.284	-2.334	-3.22	-2.294	-1.141	-2.519	-3.386
46	92105	INTS4	-0.245711893431693	0.007906443607483	0.438480644419221	-2.8045	-1.576	-1.2285	83	34	-2.428	-3.889	-2.01	-0.417	-0.538	-1.659	-1.88	-4.353	-3.506	-3.402	-3.181	-4.477	-1.125	-1.491	-3.745	-1.627	-3.123	-0.289	-0.647	-0.485	-1.83	-1.761	-2.171	-2.569	-1.82	-0.559	-0.01	-1.525	0.001	-0.562	0.28	-0.742	-1.7	-2.088	-1.171	-2.066	-1.66	-4.643	-0.268	-0.28	-2.292	-3.348
73	22	ABCB7	-0.254566736248151	0.045260785957959	0.680073552227073	-2.0025	-1.066	-0.9365	75	38	-2.158	0.307	-1.599	-2.855	0.661	-4.759	-1.06	-4.227	-1.847	-2.972	0.229	-4.39	-3.973	-2.228	-5.112	0.565	-2.234	-2.012	-0.575	-1.957	-1.171	-1.909	0.284	-0.958	-1.392	-0.722	-0.933	-0.044	-0.012	-0.557	0.228	-0.961	-2.384	-2.404	-0.718	0.077	-3.196	-3.091	-1.866	-0.452	-2.717	-0.697
53	8533	COPS3	-0.259094370821687	0.030683171193951	0.647120964318552	-3.3435	-1.305	-2.0385	83	38	-3.223	-0.656	-1.988	-3.716	0.831	-4.237	-2.62	-5.019	-2.655	-3.532	-3.464	-3.68	-0.477	-1.257	-1.616	-0.935	-1.782	-0.285	-0.007	0.864	-4.301	0.891	-0.724	-1.353	-0.863	0.914	-1.396	-1.688	-4.483	-0.21	0.996	0.035	-3.631	-3.263	0.863	-6.778	-2.776	-2.739	-1.992	0.534	-1.892	-2.478
43	9733	SART3	-0.366291670461238	0.000884894798205	0.200530775039288	-2.2685	-1.448	-0.8205	83	31	-1.636	-1.445	-2.026	-0.626	-0.564	-3.456	-2.511	-8.131	-5.012	-2.627	-2.761	-1.802	-2.411	-0.91	-1.12	-1.417	-2.698	-1.353	-0.182	-1.851	-3.698	-1.261	-1.479	-1.708	-2.025	-1.131	-0.067	-0.915	-2.238	-1.311	-1.172	-0.995	-0.186	-2.166	-2.615	-4.89	-0.825	-4.466	-3.284	0.858	-1.483	-2.703
37	2873	GPS1	-0.307305328770865	2.27E-05	0.033370086833422	-1.9975	-0.891	-1.1065	83	48	-3.552	-0.501	-1.139	-2.049	0.598	-2.661	-1.194	-6.967	-2.029	-3.333	-1.802	-1.966	0.182	-2.576	-1.472	-0.624	-1.19	-0.321	0.016	-0.912	-1.619	1.221	-0.982	-1.021	-0.967	0.196	-2.629	-1.549	-0.986	-0.87	0.535	-1.159	-0.075	0.558	1.376	-2.685	0.234	-3.352	-0.508	0.503	-0.5	-2.065
42	81608	FIP1L1	-0.27356046968705	0.000657940086978	0.167094094503123	-1.718	-0.7605	-0.9575	83	45	-1.034	-1.669	-0.872	-1.589	-1.767	-2.8	-1.885	-3.427	-3.64	-1.177	-0.318	-3.614	-0.776	-0.821	-2.41	-0.107	-2.152	-1.199	-0.841	-1.27	-2.174	-0.003	-0.745	-1.375	-0.652	0.497	0.889	-0.324	-0.016	0.44	-0.328	-0.579	0.024	-1.887	-0.474	-2.001	-2.631	-3.007	-1.643	-0.513	-1.442	0.399
96	51631	LUC7L2	-0.131742733003105	0.004117604425437	0.392797392217467	-1.0985	-0.0225	-1.076	58	54	1.085	-0.537	-0.433	-1.104	-1.803	-1.093	-1.321	-1.673	-0.087	-1.807	-1.236	0.852	0.138	0.466	0.181	0.893	0.45	0.037	-0.474	-1.265	0.247	-1.336	-1.606	-0.822	0.279	0.278	-0.358	0.709	-1.548	0.299	-0.853	-0.023	-0.66	-0.262	0.405	-0.022	0.389	-0.026	-0.17	-1.545	1.152	-1.431
62	51184	GPN3	-0.21955010051538	0.026891308054552	0.643919863453366	-2.0745	-0.394	-1.6805	75	43	-1.203	-2.286	-2.316	0.2	0.818	-4.003	-2.403	1.114	-1.928	-2.156	-1.993	-5.689	-0.225	-0.298	-3.11	-1.163	-3.417	0.698	-0.504	0.447	-3.124	0.698	0.374	-1.103	-1.416	-1.538	1.091	-0.238	-1.203	-0.767	-0.359	-0.223	-0.295	0.602	0.179	-2.738	-0.301	-1.87	-1.681	0.992	-3.045	-0.429
108	10285	SMNDC1	-0.146619374508658	0.029997258511252	0.645144499346783	-1.2615	-0.7265	-0.535	58	37	-1.129	0.026	-0.24	-0.572	-2.202	-3.222	-2.159	-1.394	-2.849	-1.546	-0.666	0.198	0.322	-1.313	-0.219	-1.219	-0.846	-0.31	-1.316	-4.522	-0.618	-2.182	0.547	-0.223	-0.001	0.393	-0.492	0.129	-0.428	1.123	-1.415	-0.892	-1.502	-1.009	-0.035	-0.835	-1.776	-2.538	-1.171	0.048	0.311	-1.078
3	9416	DDX23	-0.27251089100434	0.002046587424891	0.298146882583507	-2.6545	-1.777	-0.8775	100	35	-2.471	-1.12	-1.99	-2.74	-1.601	-3.851	-2.238	-7.009	-5.289	-2.569	-4.391	-3.584	-2.724	-1.792	-2.94	-1.458	-3.285	-3.136	-1.762	-2.135	-1.589	-2.292	-4.55	-2.071	-1.967	-0.49	0.003	-2.824	-2.069	-0.877	-0.646	-1.011	-1.431	-0.595	0.212	-3.323	-1.299	-4.12	-0.632	-0.628	-1.661	-2.919
16	23479	ISCU	-0.675962100170694	0.000231271832016	0.101400020035157	-3.4405	-1.9905	-1.45	92	32	-3.303	-3.578	-1.415	-3.11	-3.584	-5.332	-2.559	-0.795	-4.761	-4.346	-1.645	-6.382	-2.051	-3.426	-4.346	-0.57	-3.449	-0.787	-1.721	-0.709	-2.012	-2.865	-1.898	0.441	-2.991	-1.084	0.079	-1.92	-3.223	-0.572	-1.995	-1.232	-1.356	-2.252	-2.103	-2.403	-1.128	-1.986	-2.64	0.904	-3.058	-2.526
107	23433	RHOQ	-0.11847130638467	0.029831579641713	0.645144499346783	-1.022	-0.3005	-0.7215	58	78	-1.082	-2.061	-0.342	-1.034	-0.667	0.066	-1.798	-2.305	-1.188	0.035	-0.568	-1.01	-0.999	-0.379	0.198	-0.317	-0.05	-0.058	-0.298	-0.884	-0.102	-0.484	0.171	-0.588	-0.075	-0.098	0.063	-0.303	-0.415	-0.187	0.451	0.137	0.512	-0.806	-1.002	-1.387	-0.24	-0.759	0.209	-0.304	-0.633	-0.554
30	527	ATP6V0C	-0.354583858952068	0.019668876761334	0.582942765984805	-2.5865	-0.679	-1.9075	92	46	-2.413	-1.868	-1.806	1.253	-1.653	-3.07	-2.791	-4.358	-2.814	-2.76	-4.396	-2.363	1.011	-1.923	-2.828	-1.168	-0.639	0.363	-0.054	-0.266	-2.331	2.071	-0.541	-2.128	-0.108	0.698	-0.719	0.36	-3.512	0.122	-2.466	-1.769	1.27	-3.384	-1.502	0.462	0.514	-3.6	0.993	-2.309	-0.902	-4.293
78	1053	CEBPE	-0.264999091174408	0.004014676012697	0.389053800440935	-1.3005	-0.956	-0.3445	67	35	-0.875	-2.556	-1.34	0.261	-0.865	-1.991	-1.261	0.071	-2.293	-3.226	-2.663	-1.048	0.863	-0.743	0.146	-0.894	-0.69	-1.995	-1.091	-3.599	-2.028	-2.284	-0.636	0.753	-1.561	0.168	-3.299	-1.25	-1.64	0.107	-0.542	-1.95	-0.519	-1.043	-0.715	-0.674	-1.018	-2.451	-1.286	-1.415	-0.849	-0.28
33	132158	GLYCTK	-0.296184032719201	0.028073630797108	0.645144499346783	-3.016	-1.5095	-1.5065	92	33	-0.827	-4.223	-1.237	-4.222	-1.602	-4.385	-2.668	-5.142	-3.454	-3.364	-2.265	-1.126	-0.484	-3.939	-2.777	-0.656	-1.998	-1.385	-1.543	-1.375	-1.181	-2.975	-1.076	-1.57	-1.476	-0.277	-1.551	-2.89	-3.179	-1.858	-2.37	-2.908	-0.104	-1.121	-1.805	0.618	-0.827	0.273	-1.227	-2.83	-0.588	-4.074
120	2848	GPR25	-0.452764097728686	0.015511987547188	0.553248369419073	-1.191	-0.026	-1.165	50	46	-0.141	-1.742	-0.028	2.061	-1.673	-3.566	0.637	-0.665	-2.549	-2.557	-1.694	-0.709	0.045	-1.487	-1.181	-0.097	-0.451	2.074	-0.44	0.631	1.559	0.249	0.265	-1.831	-0.5	1.26	-3.027	0.152	-0.629	0.216	-1.481	-2.789	0.526	0.629	0.125	0.047	-0.275	0.667	0.422	-2.397	-0.312	-0.998
115	10633	RASL10A	-0.48541484918683	0.008461340679084	0.446722394992473	-1.4385	0.3125	-1.751	50	46	1.07	-1.948	2.695	2.804	-2.254	-4.012	-0.929	0.53	-4.957	-2.745	-2.139	-0.015	4.139	-0.786	-1.86	-0.273	1.255	1.489	-0.354	3.819	0.853	2.442	0.93	0.219	-1.501	0.698	-4.685	-1.124	-0.874	0.406	-2.35	-4.021	3.102	0.653	0.034	1.705	2.053	1.707	1.67	-0.488	-0.072	-1.167
8	79891	ZNF671	-0.280138363180326	0.009946393089352	0.475590693887387	-2.422	-1.8105	-0.6115	100	36	-2.514	-2.906	-1.222	-2.833	-1.91	-2.33	-2.073	-1.297	-2.326	-3.726	-4.616	-3.399	-1.76	-2.196	-0.773	-1.665	-2.653	-2.867	-1.93	-0.884	-0.751	-1.861	-2.799	-1.752	-2.132	0.038	-0.929	-2.045	-1.517	-0.279	-0.461	-2.385	-0.782	-3.135	-2.122	-1.021	-1.343	-2.196	-0.301	-2.097	-1.979	-2.229
61	5737	PTGFR	-0.181098897862496	0.008156394879217	0.438480644419221	-1.459	-0.3535	-1.1055	75	53	-2.064	-1.606	-1.284	-3.641	-1.136	-0.163	-0.234	-2.878	-1.552	0.471	-1.387	-1.531	-0.089	0.279	-2.114	-0.537	-1.832	-0.884	-0.168	1.058	0.324	-1.604	1.134	-0.674	0.281	-0.712	0.126	-1.545	-0.24	-1.116	-2.282	-0.316	0.068	0.208	-0.233	0.107	0.725	-1.352	-0.831	-1.228	-0.391	-0.711
82	5294	PIK3CG	-0.151268578747532	0.01164834709603	0.50913991906386	-1.142	-0.0995	-1.0425	67	80	-1.082	-1.122	-2.175	0.72	-0.107	-1.166	-0.09	-3.759	-2.145	-1.418	0.315	-1.162	-1.011	0.617	0.135	-0.504	-0.239	0.221	-0.173	-0.023	-0.042	0.601	-0.035	-0.191	-0.879	-0.081	-0.735	-0.235	0.012	-0.923	0.215	-0.19	-1.724	0.674	0.341	-0.501	0.367	-0.85	0.618	-0.062	-0.19	-0.118
79	57863	CADM3	-0.325108081741495	0.004223294698781	0.392797392217467	-1.297	-0.8	-0.497	67	38	-2.405	-1.767	-0.23	0.446	-2.932	-1.542	-1.387	-0.767	-1.856	-1.207	-0.044	-1.009	-1.214	-0.323	-1.397	-0.485	-1.006	-1.389	0.852	-0.145	-2.144	-0.313	-1.093	-3.735	-0.927	-0.181	-1.301	-0.013	0.711	-1.615	-0.625	0.285	-0.648	-2.797	-1.071	-0.928	-0.673	-1.196	-0.671	-1.501	-0.032	0.234
1	5434	POLR2E	-0.470519487282913	0.000831719282669	0.194094153990046	-3.1155	-1.5375	-1.578	100	38	-1.743	-3.507	-2.659	-2.034	-2.224	-4.295	-1.204	-6.586	-4.825	-2.724	-5.458	-4.918	-0.443	-2.009	-3.627	-2.145	-2.893	-0.877	-1.531	1.192	-2.365	-0.51	-1.504	-5.808	-4.006	-0.14	-1.19	-0.209	-1.544	-0.613	-0.036	-1.149	-1.174	-3.335	0.29	-3.656	-2.048	-6.124	-0.414	-1.628	-2.306	-2.717
4	6234	RPS28	-0.3417498854891	0.004008403180498	0.389053800440935	-2.3405	-1.716	-0.6245	100	39	-1.794	-2.768	-3.226	-1.264	-1.302	-4.836	-1.555	-1.913	-3.608	-3.22	-3.53	-1.28	-1.649	-2.666	-4.994	-0.462	-1.778	-0.028	-0.367	0.459	-1.916	-0.406	-2.431	-2.574	-3.641	-0.598	-2.367	-1.631	-2.734	-0.545	-0.959	-2.145	-1.273	-2.602	0.022	-0.388	-1.953	-2.605	-1.926	-1.654	-0.849	-3.251
5	6232	RPS27	-0.416148720152949	0.004308555843848	0.392797392217467	-2.6655	-1.745	-0.9205	100	32	-3.356	-1.317	-1.975	-1.042	-1.389	-4.319	-1.936	-6.65	-4.93	-3.453	-1.597	-3.92	-1.42	-1.447	-2.872	-0.422	-2.596	-0.786	-1.006	-1.671	-2.475	-1.478	-2.572	-1.539	-1.314	-1.004	-1.067	-2.361	-4.746	-1.804	-3.198	-1.935	-1.49	-1.731	-2.301	-3.06	-1.759	-3.543	-0.975	-0.249	-2.51	-3.738
7	6500	SKP1	-0.392966077472767	0.007921894282604	0.438480644419221	-2.593	-1.6485	-0.9445	100	33	-1.279	-3.03	-1.814	-1.787	-1.488	-2.902	-3.182	-1.21	-2.284	-4.5	-3.084	-3.818	-1.053	-1.608	-1.369	-1.193	-0.77	-3.604	-3.613	-0.462	-1.423	-1.542	-2.61	-1.402	-3.296	-1.834	-2.547	-0.754	-2.448	-1.463	-2.169	-0.364	0.322	-0.813	-2.226	-1.689	-3.08	-1.996	-1.98	-1.455	-1.965	-2.056
9	6651	SON	-0.314324780622535	0.023405809086848	0.616757724238405	-2.5825	-1.8725	-0.71	100	35	-2.595	-3.283	-1.845	-5.505	-1.343	-1.696	-3.287	-4.791	-2.57	-3.405	-1.547	-2.517	-1.929	-0.378	-1.227	-0.31	-2.945	-3.093	-0.332	-0.254	-1.993	-0.128	-0.839	-2.593	-4.487	-0.446	-1.02	-1.786	-1.651	-2.324	-3.075	-1.997	-2.112	-1.645	-2.858	-4.376	-1.816	-3.714	-2.357	-0.923	-1.707	-2.167
11	10531	PITRM1	-0.220722226754363	0.040075932336614	0.664445376747095	-2.442	-1.4415	-1.0005	100	38	-2.362	-1.618	-1.615	-4.757	-1.993	-3.5	-1.989	-2.697	-3.018	-2.522	-3.172	-2.296	-1.954	-3.185	-3.154	-0.477	-0.947	-0.779	-2.028	-1.391	-1.037	-1.937	-3.324	0.023	-2.713	-0.83	-3.537	-1.492	-1.005	-0.419	-3.329	-3.477	-2.135	-0.622	-3.734	-1.123	-0.271	-0.389	-0.788	-1.245	-1.509	-1.63
