target	cell_line_number_altered_group	cell_line_number_unaltered_group	median_altered_group	median_unaltered_group	median_difference	mptest.pvalue	Penetrance.(%)	Coverage (%)	HCC1187_BREAST	HCC1937_BREAST	MDAMB436_BREAST	MDAMB468_BREAST	BT20_BREAST	CAL120_BREAST	CAL51_BREAST	HCC1395_BREAST	HCC70_BREAST	MDAMB453_BREAST	HCC1143_BREAST	HCC1806_BREAST	HCC38_BREAST	HS578T_BREAST	MDAMB157_BREAST	MDAMB231_BREAST
CHP2	4	12	-1.6604597445	-0.668006212	-0.9924535325	0.01	75	75	-2.943261886	-2.031812842	-1.289106647	-0.272530017	0.833250578	-0.936964883	-0.97419922	-0.143556611	-1.065700623	-0.778124784	-0.709201649	-0.952017062	-0.492133385	0.767496322	-0.626810775	1.780745628
DGKI	4	12	-1.869803864	0.0709567435	-1.9407606075	0.01	100	57	-2.375240187	-2.670342116	-1.364367541	-1.160370906	-0.523426073	1.007935075	1.093494828	-0.36280348	-0.052094819	-1.024901296	-1.836530627	-1.65075505	1.669834836	0.205574718	1.427811644	0.194008306
PPP6R1	4	12	-1.210280763	0.333102323	-1.543383086	0.01	50	100	NA	-1.210280763	-0.438262429	-1.212261313	NA	NA	NA	NA	NA	NA	0.461699425	0.204505221	-0.134168805	0.730261985	0.541317529	-0.28694842
POLG	4	12	-2.3172100765	0.5295728685	-2.846782945	0.01	75	75	1.401272276	-4.669509139	-3.103290314	-1.531129839	1.242432178	0.917225891	-0.194852852	0.750067484	0.309078253	0.055607483	0.246809766	-1.187702494	1.382258997	1.305809773	0.900193163	0.026719182
ZNF257	4	12	-1.5406364785	-0.0342815555	-1.506354923	0.0102	75	75	1.108547007	-2.035377832	-1.454284505	-1.626988452	-0.198497064	0.423672868	-0.605024727	0.649455551	-1.089467222	-0.066632055	-0.001931056	0.472394394	0.952875789	1.265406556	-0.104143669	-0.540062692
MRPS5	4	12	-1.778302461	0.296680011	-2.074982472	0.0103	75	100	NA	-1.203943003	-1.778302461	-1.79850407	NA	NA	NA	NA	NA	NA	-0.309209801	0.15404081	1.240055518	1.178658472	0.252474138	0.340885884
RCC1	4	12	-1.962493598	-0.2515956055	-1.7108979925	0.0106	75	75	NA	-2.037754492	-1.24236567	-1.962493598	NA	NA	NA	NA	NA	NA	0.66529995	-1.24078123	0.063806959	-0.56699817	0.378159832	-0.865665088
MRPS11	4	12	-3.115569723	0.6678746645	-3.7834443875	0.0107	75	100	NA	-3.118342493	-1.503006031	-3.115569723	NA	NA	NA	NA	NA	NA	0.438328936	0.33320135	0.897420393	0.235639464	2.396300523	0.982980147
LARS2	4	12	-2.1654999575	0.622718128	-2.7882180855	0.0109	75	50	-2.805811726	0.696196528	-1.846037266	-2.484962649	1.695581984	1.88531866	0.231599143	1.082403749	-2.164905793	-1.565195297	0.52864201	0.716794246	-1.214241862	3.050674195	1.024175584	-0.11531397
PKM	4	12	-3.0543707325	-0.623820145	-2.4305505875	0.011	100	44	-4.265476969	-3.211824446	-1.826627877	-2.896917019	0.714417586	-0.290869909	-0.956770381	0.474771054	-1.099369971	2.942932283	1.667458176	-2.574483503	3.587403206	-1.445966195	-1.083921682	-3.438795459
RPL15	4	12	-2.513482567	1.0214028135	-3.5348853805	0.011	50	67	NA	-2.530911406	-0.532536602	-2.513482567	NA	NA	NA	NA	NA	NA	1.290757594	-2.229471718	1.719348583	0.752048033	1.88413033	-0.033006279
NUTM1	4	12	-1.428933467	0.3621966	-1.791130067	0.011	50	100	NA	-0.70761721	-1.428933467	-1.459037824	NA	NA	NA	NA	NA	NA	-0.594725868	-0.593141428	2.116250773	0.820178948	-0.095785748	1.049130512
MRPL18	4	12	-2.259179966	0.66213107	-2.921311036	0.011	75	100	NA	-1.487557742	-2.276212695	-2.259179966	NA	NA	NA	NA	NA	NA	1.542683535	0.414562338	0.909699802	0.010058797	-0.578881469	1.426623314
EEF2	4	12	-3.855701204	-0.5279813375	-3.3277198665	0.0111	75	33	-0.826450201	-4.463531954	-4.24963257	-3.461769838	1.643295468	6.821641118	-1.474882223	-1.878518284	-3.302137519	3.783873751	-1.298217176	-3.593674458	0.242254501	4.504397788	1.876208131	-3.191622837
SNAP91	4	12	-1.217014632	0.79284736	-2.009861992	0.0112	50	100	NA	-1.228105711	-0.846255699	-1.217014632	NA	NA	NA	NA	NA	NA	0.643117791	-0.046668112	-0.155915242	0.942576929	1.432168854	1.169944053
SNW1	4	12	-5.7766365075	0.3806949355	-6.157331443	0.0113	100	44	-1.394868009	-5.88556675	-5.754850459	-5.798422556	-1.369120861	2.202602747	-1.258210069	2.247759284	-4.142682878	4.587580882	-0.486191736	-6.986752469	2.778150535	1.981969493	1.247581607	-3.936309583
RPL28	4	12	-1.204735223	1.3428460555	-2.5475812785	0.0119	50	100	NA	-1.213845752	0.236471295	-1.204735223	NA	NA	NA	NA	NA	NA	3.561259947	1.035662773	0.281429777	1.857194852	1.650029338	0.050616497
LILRA4	4	12	-1.029258506	0.1163905575	-1.1456490635	0.012	50	67	-0.530159943	-0.199804227	-1.528357069	-1.890005473	-1.098181641	1.153703544	1.75737514	-0.312893623	-0.550757661	0.431991177	-0.199210062	-0.804664152	0.595188485	-0.545212121	1.904728049	0.433179507
HSF1	4	12	-1.3760527855	-0.1330993075	-1.242953478	0.012	50	67	-2.61528283	-0.876756167	-0.885470586	-1.866634985	-1.060947304	-0.56897872	1.606853351	1.099040368	-0.179364952	-0.97776421	-0.517880533	-0.553134321	0.717586466	-0.086833663	-0.032328931	0.017065982
BIN2	4	12	-1.38575748	0.056776007	-1.442533487	0.012	50	67	NA	-1.441608986	-1.38575748	-0.390531178	NA	NA	NA	NA	NA	NA	-0.635921305	0.376416948	-0.262864934	-1.000738588	0.605091234	0.500122092
DHCR24	4	12	-1.0276740665	0.104679566	-1.1323536325	0.012	50	67	-0.336105668	-1.606786844	-1.663430569	-0.448561289	0.236471295	2.600693268	0.732242535	1.426227204	-0.645427944	-0.820508551	-1.169877546	0.198048628	0.011310504	0.385170978	-0.286235422	-0.204201047
NUP133	4	12	-3.141316871	1.9225529975	-5.0638698685	0.012	75	60	NA	-3.141316871	-1.803257389	-3.195583937	NA	NA	NA	NA	NA	NA	1.959391225	-2.256011086	1.88571477	3.397666529	6.770146822	-1.747405883
NKTR	4	12	-1.212657422	-0.106025191	-1.106632231	0.012	50	100	NA	-1.371893631	-1.212657422	-0.797138063	NA	NA	NA	NA	NA	NA	0.891082633	-0.580069799	0.080443578	-0.29249396	0.26883348	-0.931419343
RPL27A	4	12	-2.100735977	0.8334486325	-2.9341846095	0.012	50	100	NA	-2.19619848	0.060558857	-2.100735977	NA	NA	NA	NA	NA	NA	1.117657537	0.586870176	0.175232694	1.080027089	2.98016662	-0.355911166
SART3	4	12	-4.035733186	0.367524279	-4.403257465	0.012	50	67	NA	-4.526909549	-0.767033705	-4.035733186	NA	NA	NA	NA	NA	NA	-0.268529307	-2.354642469	3.218228713	1.003577865	3.030076476	-0.906860525
SLC26A7	4	12	-1.1570039715	1.2865984395	-2.443602411	0.012	50	50	0.227400377	-1.355653122	-0.958354821	-1.367140311	1.359680729	0.781360171	-0.324974978	2.057626498	2.740123978	2.541276772	-0.28413604	-1.327133204	4.179587612	-3.194791717	3.11167513	1.21351615
AURKB	4	12	-2.756892144	0.6463064765	-3.4031986205	0.013	75	43	-4.015927687	-3.040308828	-0.844275149	-2.47347546	-0.783274214	7.542561266	-0.332857566	2.038217109	-1.504194361	-5.564717673	2.106348024	2.380852234	-1.289106647	1.625470519	2.475918627	-2.014780114
PNISR	4	12	-3.804008852	-1.180968625	-2.623040227	0.013	75	50	NA	-3.466523157	-3.804008852	-3.83332099	NA	NA	NA	NA	NA	NA	-1.422991817	-2.793928427	-0.56145263	-0.938945433	2.466808098	-2.906027548
ILK	4	12	-1.837917012	-0.042057392	-1.79585962	0.013	75	75	-1.79731574	-2.509521467	-0.455295158	-1.878518284	0.597961255	0.539336979	-0.061561847	-0.149973592	-0.022552937	-0.691376701	0.041070247	0.284083714	-0.925873804	-1.961701378	1.404045046	-0.877944497
TMEM86B	4	12	-1.832173417	-0.2547050685	-1.5774683485	0.013	75	60	-3.336599087	-1.714132646	2.98412772	-1.950214188	-0.650181264	-1.51647377	-0.760695946	-0.121730951	-0.100935178	0.050061943	1.942754606	-0.589180328	0.29307541	-0.387679186	0.678767689	-1.293067747
RRP12	4	12	-3.536238512	-0.8016735225	-2.7345649895	0.0139	75	50	NA	-2.4750599	-3.555647901	-3.536238512	NA	NA	NA	NA	NA	NA	3.012647638	-2.047261131	2.394319973	-1.770776372	0.167429327	-2.520612547
ISCU	4	12	-5.622153619	-0.0103487885	-5.6118048305	0.014	75	38	-0.226858538	-6.891686076	-4.352621162	-6.998635768	-6.531226003	2.378871684	0.014546723	-2.05874832	-2.20451679	-0.0352443	1.529215796	-3.782222804	2.580095549	2.372533925	2.57296557	-4.51502625
MRPL28	4	12	-1.344562043	0.020274473	-1.364836516	0.014	50	100	NA	-1.344562043	-1.400017439	-0.692565031	NA	NA	NA	NA	NA	NA	-0.037240695	-0.061244959	0.218725569	-0.762280386	0.077789641	0.841964997
GINS1	4	12	-3.220538865	0.419711768	-3.640250633	0.014	50	50	NA	-3.83411321	-3.220538865	-0.629187435	NA	NA	NA	NA	NA	NA	-0.462425137	-3.085861475	1.301848673	2.516321844	2.30519523	-1.208300213
URGCP-MRPS24	4	12	-1.210280763	0.5209178655	-1.7311986285	0.014	50	100	NA	-0.672363422	-1.210280763	-1.357633672	NA	NA	NA	NA	NA	NA	0.538940869	0.751651923	0.502894862	1.217477249	0.047645672	-0.711578309
CADM4	4	12	-1.748594213	-0.1433783615	-1.6052158515	0.014	50	67	NA	-1.748594213	-1.762458062	-0.815755232	NA	NA	NA	NA	NA	NA	-0.33697711	-0.586803668	0.80512677	2.401846063	0.050220387	-1.505778801
MMS22L	4	12	-2.959502394	0.1577444385	-3.1172468325	0.014	75	60	NA	-3.580206719	-2.959502394	-1.073622823	NA	NA	NA	NA	NA	NA	2.519490724	-0.165619936	-1.771172482	0.481108813	3.014232078	-2.463572711
KIAA1524	4	12	-3.494250855	-0.128464821	-3.365786034	0.014	75	75	NA	-3.494250855	-3.044666038	-3.605161647	NA	NA	NA	NA	NA	NA	-0.420833591	-0.70524055	0.163903949	0.226172436	0.363107653	-1.664618899
SRRM2	4	12	-1.72264901	-0.4176845165	-1.3049644935	0.014	75	38	-1.626592342	-1.818705678	-0.548777111	-1.851978916	-1.578663036	-0.120938732	1.432961074	-1.971208017	-1.097785531	-1.321983774	-0.305724033	-1.181364735	-0.460048478	1.20242507	0.713625366	-0.375320555
NARS2	4	12	-3.798463313	1.0069448	-4.805408113	0.014	75	75	NA	-3.870159218	-3.798463313	-1.560045867	NA	NA	NA	NA	NA	NA	0.146514721	1.124787516	1.162021853	0.93505084	1.07883876	-3.476029797
LYST	4	12	-1.11046105	-0.2654594545	-0.8450015955	0.014	50	100	NA	-0.950036512	-1.462998924	-1.11046105	NA	NA	NA	NA	NA	NA	-0.752377636	0.871673245	-0.576108699	-0.6992989	0.491803783	0.04518979
CTPS1	4	12	-1.2568236845	0.1738661145	-1.430689799	0.0142	75	75	0.467641074	-1.912187631	-1.468940574	-1.044706795	0.116608418	0.231123811	1.993456682	-1.125513229	0.283014217	2.452548139	-0.502828355	-0.547984891	1.197275641	0.019406992	0.487842683	-0.744851547
KIF23	4	12	-4.221904872	0.302205745	-4.524110617	0.0149	75	75	NA	-4.221904872	-4.293204667	-2.834727754	NA	NA	NA	NA	NA	NA	2.142394032	-0.246664036	0.851075526	-0.953997611	4.009260325	-3.83530154
GRPR	4	12	-1.365555871	0.247027626	-1.612583497	0.015	75	60	0.105992671	-1.901492662	-1.530337619	-1.200774123	-0.952017062	0.339261833	0.154793419	0.921583101	1.406025596	-1.616293483	0.407036249	0.751651923	-1.085902232	-0.207726426	-0.83991794	0.435556167
SNAPC2	4	12	-1.0664928435	-0.1041436685	-0.962349175	0.015	50	100	-1.442401206	0.1730937	-0.690584481	-1.544201468	-0.740494337	-0.657311243	0.294778683	-0.199408117	-0.070870431	-0.313527399	0.832854468	-0.135792855	-0.515899984	0.14647511	-0.072494482	0.028862137
MCM3AP	4	12	-4.25359367	2.655356444	-6.908950114	0.016	75	75	NA	-2.47664434	-4.721003435	-4.25359367	NA	NA	NA	NA	NA	NA	2.532562353	0.483485473	2.778150535	4.718297173	3.738717214	-1.727204275
PSMB3	4	12	-4.136741228	-1.8670310945	-2.2697101335	0.017	100	36	-4.728925635	-4.206060473	-2.209666219	-4.067421983	-2.968612924	1.190937881	-0.388035685	-2.708368673	-5.323090591	-3.459789288	-2.803038956	-3.499796395	0.731054205	1.219457799	3.965688228	-1.025693516
E2F2	4	12	-1.2128554775	0.4672449645	-1.680100442	0.017	75	60	-1.289502757	-0.210380363	-1.145318727	-1.280392228	1.006350635	-0.989251399	-1.180968625	0.464868305	-2.669153786	-0.037383294	0.93386251	0.469621624	1.321654172	0.648663331	0.086622893	1.2115356
CWC22	4	12	-2.908404208	-0.276055396	-2.632348812	0.017	100	44	-2.418020064	-2.812149485	-3.004658931	-3.710526899	-2.553885784	2.311929099	-4.000083288	3.444407506	-1.190475264	-1.410712408	-0.995589158	1.062598251	0.443478366	0.507648181	3.969649328	-2.077365489
C14orf2	4	12	-1.096201091	0.213417695	-1.309618786	0.017	50	100	NA	-1.096201091	-1.137000418	-0.292295905	NA	NA	NA	NA	NA	NA	0.110151826	-0.273124182	0.316683564	0.693819868	0.825724488	-0.162847166
USP9X	4	12	-2.278193244	1.1758857025	-3.4540789465	0.017	75	75	-0.42202192	-4.265476969	-1.610351833	-2.946034655	0.538148649	0.862166605	2.661298093	0.192265423	3.9407333	0.992882896	1.358888509	-3.02050333	0.479920483	2.685460802	2.16457619	2.591186629
MRPL39	4	12	-1.058966754	0.0269489265	-1.0859156805	0.017	50	100	NA	-1.065304513	-0.953997611	-1.058966754	NA	NA	NA	NA	NA	NA	-0.291662129	0.407828469	1.459104332	-0.122998503	0.176896356	-0.257438228
XRN1	4	12	-1.9720002365	0.757791628	-2.7297918645	0.018	100	67	-1.722054845	-3.521978553	-1.286729987	-2.221945628	1.162021853	0.581720746	2.085354196	3.463420785	1.167567393	0.79799679	0.717586466	-1.704626006	1.428603864	-0.25751745	-0.458464038	-2.307901492
PCDHA3	4	12	-1.055599819	0.3129997415	-1.3685995605	0.019	50	100	-2.953164635	-1.194040254	1.518520827	-0.917159384	0.818594509	0.017062021	1.62388608	-0.39100651	3.008290428	1.388596757	-0.97142645	0.330983134	0.045783955	1.858383182	0.295016349	-0.126523882
RNF181	4	12	-1.0379729255	-0.0371614725	-1.000811453	0.02	50	67	-2.912365308	-0.9773681	-1.098577751	-0.515503874	0.564291907	-0.914782724	0.959213548	-0.519861083	0.105636172	-0.179959117	2.862125849	0.51992759	0.457342215	-0.778124784	-1.172650315	-0.404989192
EIF2B4	4	12	-2.129255895	1.4442502075	-3.5735061025	0.02	100	67	-1.829400647	-2.429111143	-3.392054483	-1.636495091	1.327595821	2.271129772	0.072719433	-1.408335748	-4.570481646	5.399606323	1.560904594	-0.808229142	3.194066004	2.197849427	3.25902804	-0.155360688
SFTPB	4	12	-1.0779800325	0.117677915	-1.1956579475	0.02	50	67	-0.399443652	-1.459037824	-0.920724374	-1.235235691	-0.948452072	-1.365951981	0.403471259	0.335340344	0.379229329	2.241421524	-0.83793739	0.404263479	-0.524614403	1.081611529	-0.099984514	-0.952413172
PRMT5	4	12	-1.9199117755	-0.1176708245	-1.802240951	0.021	75	60	-2.052014451	-1.7878091	-0.403008642	-2.088456568	-0.308536414	0.763931333	-0.132307088	2.231122665	1.175093482	2.138036822	-0.103034561	0.53299922	-1.78622466	-0.351157847	-0.29966355	-2.366129658
RPL21P44	4	12	-3.530296863	0.4773457685	-4.0076426315	0.021	75	60	NA	-1.821478448	-3.530296863	-3.775488935	NA	NA	NA	NA	NA	NA	4.468747891	-0.905672195	4.405370296	-1.877726064	1.860363732	-2.755109649
EIF4A1	4	12	-3.0381302235	1.642899358	-4.6810295815	0.021	75	75	-2.175996872	-3.900263575	0.986941246	-4.621975943	1.548625185	1.737173531	1.512975288	2.592374959	2.776169985	-5.354779389	2.136056272	2.395904413	0.197612907	1.392953966	5.470906117	0.390161964
APOA5	4	12	-1.3855594245	-0.046113558	-1.3394458665	0.022	50	100	-1.803257389	1.509806408	-1.803257389	-0.96786146	0.700553737	-0.773767575	0.836023347	-0.281402881	-0.722273278	2.354708976	0.086979392	-0.197229512	-0.179206508	0.750859704	-0.468762897	2.564251151
TTC27	4	12	-1.734334254	0.04835867	-1.782692924	0.022	75	60	NA	-1.734334254	-1.79850407	-1.645209511	NA	NA	NA	NA	NA	NA	0.618955083	-1.026485736	0.547655288	-1.679274968	1.62348997	-0.450937948
TFAP2C	4	12	-1.317230455	0.474572999	-1.791803454	0.022	75	60	-2.093605998	-1.167104776	0.030410927	-1.467356134	-2.502787598	1.583878972	0.532207	-0.486587846	-1.060551194	0.416938998	-0.298395999	0.855036626	0.977830717	0.049071668	1.810453876	1.525650807
PAF1	4	12	-2.0743946645	0.177292466	-2.2516871305	0.022	75	43	-2.547548025	-1.838907287	-2.309882042	-0.207449149	1.113696437	0.477147714	1.105774238	-1.829796757	-1.220183512	-1.869803864	2.231914885	-2.487735419	-0.122562782	2.227557675	2.830437051	-0.419645261
TAF10	4	12	-1.6372873115	0.5157684355	-2.153055747	0.023	75	43	-1.016979097	-3.02287999	-0.748812646	-2.257595526	1.297095354	4.528164387	-0.891808346	1.421473884	-3.131018012	-1.122344349	2.665259193	2.29529248	0.439913376	-1.234047361	0.591623495	-1.006284128
ATAD3B	4	12	-1.38298471	0.6868879435	-2.0698726535	0.023	50	100	NA	-0.327272415	-1.38298471	-1.457057275	NA	NA	NA	NA	NA	NA	1.195295091	-0.512334994	1.312543642	-0.84071016	0.723528116	0.650247771
ZC3H13	4	12	-1.9236748205	-0.0998458755	-1.823828945	0.023	100	67	-1.546974238	-2.674699325	-1.946253089	-1.901096552	2.531770133	0.818198399	0.436348387	-0.654538473	-4.059499784	-0.28017494	0.204109111	-1.634910652	0.080483189	-0.498075035	1.465442091	-0.986082519
BCS1L	4	12	-1.0771878125	0.185373109	-1.2625609215	0.023	75	75	-0.685435051	-1.65471615	-1.065700623	-1.088675002	0.190047207	0.109755716	0.720755346	0.180699011	-0.788027534	-2.040527262	0.517550931	0.034942425	0.819386729	0.430406737	0.581324636	0.0399651
CLTC	4	12	-4.980851576	-1.4299237415	-3.5509278345	0.023	100	40	-2.943261886	-3.941459012	-6.285637821	-6.02024414	-3.172609559	1.385031767	-2.149457504	-0.710389979	-6.741164287	-4.554637247	4.009260325	-2.812149485	1.236490528	1.101020918	6.722613626	-4.217943772
LDB1	4	12	-1.04094375	0.3000073345	-1.3409510845	0.023	50	50	-1.65828114	-0.708409429	-0.638297965	-1.373478071	0.19773174	-1.148487607	-1.266924489	0.66292329	-0.213747298	0.488634903	2.310740769	0.014820039	0.780171841	0.402282929	1.417512785	-0.5602643
MUC15	4	12	-1.087090562	-0.0848333075	-1.0022572545	0.024	50	100	NA	-1.129078219	-0.334243951	-1.087090562	NA	NA	NA	NA	NA	NA	-0.69692224	-0.099746848	0.20846632	-0.069919767	-0.658499573	-0.021467596
SNRNP25	4	12	-4.820030928	-1.2289375425	-3.5910933855	0.024	75	50	NA	-2.352265809	-4.820030928	-4.827953127	NA	NA	NA	NA	NA	NA	0.307137314	-3.452659308	0.498537652	-2.765012399	3.470550764	-4.154566177
SYMPK	4	12	-1.235235691	0.781142311	-2.016378002	0.024	50	67	NA	-1.421803487	-0.169779091	-1.235235691	NA	NA	NA	NA	NA	NA	1.181431242	-1.487953852	1.598931151	1.729251332	0.38085338	-0.319865159
CBFB	4	12	-1.234641526	0.4688294045	-1.7034709305	0.024	50	67	-3.457016518	-0.98014087	-1.489142182	1.807284996	0.431991177	1.396518956	0.505667632	0.350432134	-0.856158449	2.29489637	0.919206441	0.719170906	-0.862100098	-0.214499907	1.157664644	-1.332678744
COPB1	4	12	-3.818268811	0.5818197735	-4.4000885845	0.024	75	60	NA	-2.675095435	-3.818268811	-4.415998758	NA	NA	NA	NA	NA	NA	0.774626302	-2.892955919	0.389013245	0.792055141	5.97792688	-2.441390552
KATNB1	4	12	-1.1974071885	0.1058540325	-1.303261221	0.025	50	50	-4.415998758	-0.590764768	-1.804049609	-0.536497702	-0.84269071	-1.182156955	0.040357249	0.171350816	0.374238343	2.120607983	0.958421328	-0.510354444	0.352056185	-0.26825203	0.224073053	-1.532318169
PDCD11	4	12	-3.637246555	0.618578779	-4.255825334	0.025	75	75	NA	-4.511065151	-3.512868024	-3.637246555	NA	NA	NA	NA	NA	NA	3.959746578	-0.719500509	1.360869059	-0.123711501	2.564251151	-2.638653318
PRKDC	4	12	-2.193643571	0.231024783	-2.424668354	0.025	50	50	-0.098043575	-5.449845782	0.151782983	-4.289243567	0.509628731	1.569619014	-0.966277021	-0.0700386	2.396696633	2.365007835	-1.133039318	-0.047579165	-0.865665088	2.963133891	2.593959398	-1.898323782
UCK2	4	12	-1.3102985305	0.043347879	-1.3536464095	0.026	50	67	-2.05874832	-1.668579999	1.124391406	-0.952017062	0.432783397	2.756760596	1.007538965	2.178440039	-0.040884906	-0.714747189	-0.56858261	-1.202358563	0.127580664	0.66133885	-0.318201497	-0.354009838
PLRG1	4	12	-2.600230651	0.4260495275	-3.0262801785	0.026	100	40	-2.312258702	-2.162925243	-4.10703298	-2.8882026	5.225317935	1.924137438	-2.60419175	2.536919563	-1.072038383	-2.034585612	-1.155221477	-3.466127047	3.969649328	5.146095941	5.930393684	-1.775529691
SYT13	4	12	-1.2231543365	1.332349141	-2.5555034775	0.027	50	67	-1.705022116	-0.741286557	-2.319388681	-0.42439858	1.720140802	1.297095354	-0.213390799	1.367602928	4.136015515	0.014364512	2.821326522	0.339895609	2.700512981	2.312721319	0.650643881	-2.905631438
LYRM4	4	12	-1.075642984	-0.002739516	-1.072903468	0.027	50	50	-1.79850407	-1.911791521	-0.352781898	-0.183048775	-0.0815654	0.965947418	0.382754708	0.076086368	-1.508551571	-1.367140311	0.613805654	0.148099161	0.357641335	-0.572543709	-0.366645747	-0.345572696
ATP13A1	4	12	-1.017771317	0.712437036	-1.730208353	0.027	50	50	-0.469951227	-1.854355575	-1.565591407	0.359740718	0.153525867	1.06774768	1.034078333	1.056260491	0.272121193	2.44145706	0.52309647	-1.556084767	1.297887573	-1.10531162	0.379902716	0.901777602
RQCD1	4	12	-1.766023052	-0.290196522	-1.47582653	0.027	50	67	NA	-2.043300032	-0.465197907	-1.766023052	NA	NA	NA	NA	NA	NA	-1.066888953	-0.739306007	0.810276199	1.538326326	-0.0700386	-0.510354444
BRAP	4	12	-1.200378013	-0.120324761	-1.080053252	0.028	50	100	0.643910011	-0.735344907	-1.701853237	-1.665411119	1.540702986	-0.589180328	2.200226087	1.119638087	0.79363958	2.742896747	-0.259735665	-0.776540344	-0.397463102	-0.142764391	-0.491737275	-0.097885131
ATP5A1	4	12	-3.0383282785	0.534603465	-3.5729317435	0.028	100	67	-1.510928231	-4.305087966	-4.273399168	-1.803257389	2.688629681	1.274120975	0.824932268	0.11747986	-3.935517363	-4.431843156	-0.389461681	0.244274662	3.52798671	2.70883129	-0.714351079	2.194680548
HIP1	4	12	-2.122125916	1.2814490095	-3.4035749255	0.028	75	60	0.432387287	-2.61251006	-1.631741772	-4.233788171	0.864543265	2.085354196	-5.033930312	1.452766572	1.014272834	-0.125810884	1.783518398	-1.467356134	1.110131447	2.511964634	1.964540655	4.07263792
DNM1L	4	12	-2.368902428	-0.485736209	-1.883166219	0.028	75	50	-3.419782181	-3.202317807	-1.535487049	-0.751585416	3.158812217	2.095256945	-0.670778982	-2.395441796	-1.749782543	-0.287067253	-0.300693436	0.830477808	-0.798326393	-2.173620212	1.138255255	-0.957166491
