Z-Score	Symbol	Entrez ID	Gene Name						
0,44	TFE3	7030	transcription factor binding to IGHM enhancer 3						
1,30	TFEB	7942	transcription factor EB						
1,76	TP53	7157	tumor protein p53						
0,31	TPM1	7168	tropomyosin 1 (alpha)						
1,00	TSC1	7248	tuberous sclerosis 1						
-3,41	TTN	7273	titan						
1,37	TUSC3	7991	tumor suppressor candidate 3						
0,25	UBE4B	10277	Ubiquitin conjugation factor E4 B						
-1,68	USP11	8237	ubiquitin specific peptidase 11						
-0,32	VHL	7428	von Hippel-Lindau tumor suppressor						
1,57	WASL	8976	Wiskott-Aldrich syndrome-like						
-13,07	WEE1	7465	WEE1 G2 checkpoint kinase						
-3,52	WRN	7486	Werner syndrome, RecQ helicase-like						
-0,32	XPA	7507	xeroderma pigmentosum, complementation group A						
-2,05	XRCC3	7517	X-ray repair complementing defective repair in Chinese hamster cells 3						
0,77	XRCC4	7518	X-ray repair complementing defective repair in Chinese hamster cells 4						
0,36	XRN1	54464	5'-3' exoribonuclease 1						
-0,21	YWHAE	7531	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon						
-0,80	YWHAZ	7534	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta						
